DailyQCReport_V0333_20250124_093940


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,550,0,0,1980.61,2.165943,399.9374
Violet,SSC,174,6,3.571429,2006.416,4.859823,11817.63
Blue,SSC-B,150,1,0.671141,1996.359,2.682446,11981.39
UV,UV1 (373),1111,123,12.44939,305.244,5.40682,50.05413
UV,UV2 (388),330,34,11.48649,1995.948,2.97065,439.7082
UV,UV3 (428),787,74,10.37868,1544.63,3.010004,1601.651
UV,UV4 (443),1189,122,11.43393,1232.178,2.903231,2150.661
UV,UV5 (458),717,60,9.132421,1188.217,2.687946,3021.334
UV,UV6 (473),574,52,9.961685,1537.368,2.769755,4858.408
UV,UV7 (514),732,59,8.766716,1671.254,2.78162,7195.068
UV,UV8 (542),565,46,8.863199,1022.479,2.914041,4257.556
UV,UV9 (582),728,47,6.901615,1336.901,3.239763,4081.202
UV,UV10 (613),398,30,8.152174,1223.989,2.974208,4479.24
UV,UV11 (664),509,31,6.485356,589.5625,3.270012,2243.559
UV,UV12 (692),478,44,10.13825,491.4275,2.663218,1066.082
UV,UV13 (720),644,70,12.19512,551.1515,3.228135,1076.079
UV,UV14 (750),1112,132,13.46939,660.484,3.471082,1402.901
UV,UV15 (780),860,128,17.48634,610.394,4.085297,786.2391
UV,UV16 (812),1496,508,51.417,907.5855,9.414699,681.0089
Violet,V1 (428),293,-17,-5.483871,603.254,1.983487,1074.869
Violet,V2 (443),347,-40,-10.33592,1284.285,1.855925,2282.846
Violet,V3 (458),260,-25,-8.77193,1398.826,1.862273,3470.629
Violet,V4 (473),195,-10,-4.878048,1255.443,1.83071,3512.493
Violet,V5 (508),243,10,4.291845,1073.673,1.797021,3323.694
Violet,V6 (525),220,27,13.98964,780.9985,1.759285,2327.878
Violet,V7 (542),300,46,18.11024,890.034,1.740077,2398.908
Violet,V8 (581),468,89,23.48285,769.1155,2.126233,1626.169
Violet,V9 (598),317,49,18.28358,765.018,2.109446,1055.948
Violet,V10 (615),350,44,14.37909,1162.493,2.058482,1075.746
Violet,V11 (664),262,-1,-0.3802281,506.6605,2.977157,422.1689
Violet,V12 (692),227,-11,-4.621849,453.038,2.276189,247.7492
Violet,V13 (720),230,-14,-5.737705,521.892,1.625055,165.4669
Violet,V14 (750),294,-31,-9.538462,463.332,1.559273,125.481
Violet,V15 (780),578,-41,-6.623586,500.85,3.038213,80.78291
Violet,V16 (812),454,103,29.34473,618.4575,10.31645,30.46885
Blue,B1 (508),1038,-32,-2.990654,142.121,2.627501,381.5733
Blue,B2 (525),496,-5,-0.998004,176.851,2.188735,417.3195
Blue,B3 (542),480,-11,-2.240326,543.702,2.182014,1254.808
Blue,B4 (581),472,-14,-2.880658,735.9485,2.140496,1415.815
Blue,B5 (598),461,-17,-3.556485,874.8435,2.36717,1280.098
Blue,B6 (615),281,-11,-3.767123,929.56,2.198195,969.8821
Blue,B7 (661),537,-22,-3.935599,570.531,2.134657,653.0075
Blue,B8 (679),431,-26,-5.689278,483.9825,2.431452,574.9443
Blue,B9 (697),682,-20,-2.849003,597.0885,2.002028,422.4291
Blue,B10 (717),509,4,0.7920792,424.8965,2.423632,235.9846
Blue,B11 (738),305,5,1.666667,278.8415,2.498563,123.4463
Blue,B12 (760),428,6,1.421801,276.376,2.721888,105.3997
Blue,B13 (783),754,55,7.868383,259.5845,4.054151,74.58911
Blue,B14 (812),923,275,42.43827,591.339,10.42859,74.27686
Red,R1 (661),155,-19,-10.91954,416.1905,3.384551,1481.07
Red,R2 (679),230,-27,-10.50584,1084.104,2.666182,2917.768
Red,R3 (697),321,-12,-3.603604,2059.228,1.438502,2298.81
Red,R4 (717),234,-4,-1.680672,2000.391,2.386313,1407.518
Red,R5 (738),193,3,1.578947,1660.499,2.44273,1032.984
Red,R6 (760),272,4,1.492537,1461.863,2.900067,741.9119
Red,R7 (783),522,43,8.977036,1957.197,3.877358,561.8282
Red,R8 (812),319,101,46.33028,2312.652,11.64688,234.4326


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-19.975,1.133065,9.73
Blue,0,1.172609,1.0675
Red,20.275,1.087843,73.636
UV,40.5,1.047019,0
FSC Area Scaling Factor,1.242715,Window Extension,3
Flow Rate,17.43
Temperature,22.25
