DailyQCReport_V0333_20240820_130006


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,685,0,0,2007.773,1.822316,636.163
Violet,SSC,194,5,2.645503,2005.556,4.873869,10867.07
Blue,SSC-B,193,0,0,1982.334,4.439898,10694.32
UV,UV1 (373),1362,191,16.31084,114.545,6.922131,63.48524
UV,UV2 (388),370,40,12.12121,741.707,4.905473,577.5388
UV,UV3 (428),829,133,19.1092,664.322,1.590728,1944.191
UV,UV4 (443),1212,191,18.70715,600.021,1.638414,2832.117
UV,UV5 (458),749,105,16.30435,649.642,1.755728,3696.216
UV,UV6 (473),602,84,16.21622,996.138,1.861317,5722.643
UV,UV7 (514),769,117,17.94479,1403.783,1.879106,8518.531
UV,UV8 (542),591,80,15.65558,846.716,1.93489,5100.711
UV,UV9 (582),798,116,17.0088,1352.105,1.714142,4981.178
UV,UV10 (613),420,51,13.82114,1565.507,1.727967,5360.187
UV,UV11 (664),542,68,14.34599,873.965,1.517702,2524.362
UV,UV12 (692),501,48,10.59603,434.984,1.486004,1269.501
UV,UV13 (720),677,79,13.2107,413.58,1.437562,1445.781
UV,UV14 (750),1188,148,14.23077,1398.595,1.435259,1892.6
UV,UV15 (780),907,138,17.94538,1825.065,1.614334,925.4197
UV,UV16 (812),1276,251,24.4878,2123.075,2.366807,801.1736
Violet,V1 (428),292,5,1.74216,473.028,2.895826,978.0125
Violet,V2 (443),351,5,1.445087,1085.017,2.520765,2150.921
Violet,V3 (458),260,5,1.960784,1237.201,2.495493,3268.332
Violet,V4 (473),191,7,3.804348,1216.538,2.393922,3526.946
Violet,V5 (508),223,2,0.9049774,1138.008,2.709543,3148.97
Violet,V6 (525),192,1,0.5235602,818.563,2.722388,2273.388
Violet,V7 (542),257,4,1.581028,949.023,2.707836,2317.598
Violet,V8 (581),385,-1,-0.2590674,1018.719,2.169951,1434.783
Violet,V9 (598),272,-5,-1.805054,1217.924,2.245137,1032.914
Violet,V10 (615),304,-6,-1.935484,2104.612,2.103226,971.6819
Violet,V11 (664),246,0,0,1025.227,1.937262,474.9177
Violet,V12 (692),224,-2,-0.8849558,513.369,1.979657,244.3115
Violet,V13 (720),221,-6,-2.643172,498.8,2.353509,144.2504
Violet,V14 (750),303,-12,-3.809524,1233.58,2.829731,123.9757
Violet,V15 (780),582,3,0.5181347,1790.959,2.509832,67.50323
Violet,V16 (812),358,27,8.1571,1379.196,3.361777,26.53349
Blue,B1 (508),1121,-4,-0.3555556,143.421,2.914279,385.3492
Blue,B2 (525),498,0,0,133.387,2.568579,438.9617
Blue,B3 (542),514,-6,-1.153846,275.986,2.446534,1192.614
Blue,B4 (581),496,-11,-2.169625,479.893,2.407854,1307.942
Blue,B5 (598),503,-11,-2.140078,682.894,2.305489,1264.803
Blue,B6 (615),315,-7,-2.173913,871.785,1.859654,1027.89
Blue,B7 (661),581,-19,-3.166667,619.379,1.737912,628.1473
Blue,B8 (679),475,-19,-3.846154,458.734,1.798551,563.2694
Blue,B9 (697),735,-27,-3.543307,389.852,2.431376,403.124
Blue,B10 (717),567,-11,-1.903114,255.8,2.07023,241.2169
Blue,B11 (738),338,-5,-1.457726,342.57,2.221819,121.4645
Blue,B12 (760),440,1,0.2277904,583.632,2.380655,104.5895
Blue,B13 (783),783,31,4.12234,616.456,2.062613,75.38395
Blue,B14 (812),764,60,8.522727,1016.571,2.521336,72.65022
Red,R1 (661),181,-9,-4.736842,384.534,2.116372,1631.685
Red,R2 (679),293,-16,-5.177994,529.811,2.754988,3435.073
Red,R3 (697),338,-23,-6.371191,415.448,2.395662,2443.353
Red,R4 (717),282,-15,-5.050505,350.939,2.035318,1527.242
Red,R5 (738),226,0,0,660.667,1.767149,1215.148
Red,R6 (760),346,9,2.670623,948.269,2.807279,858.6526
Red,R7 (783),612,38,6.620209,1299.234,2.500168,682.6682
Red,R8 (812),280,27,10.67194,942.706,3.039575,254.1621


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-19.9,1.162615,9.855
Blue,0,1.111769,1.1075
Red,20.275,0.9155758,73.684
UV,39.7,0.8518172,0
FSC Area Scaling Factor,1.150394,Window Extension,3
Flow Rate,25.48
Temperature,23.75
