DailyQCReport_V0333_20240829_085352


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,685,0,0,1949.741,1.580147,638.7698
Violet,SSC,194,5,2.645503,1986.296,4.971542,11518.04
Blue,SSC-B,196,3,1.554404,2009.714,2.063848,11564.5
UV,UV1 (373),1344,173,14.7737,109.3855,7.238998,58.65545
UV,UV2 (388),367,37,11.21212,729.3885,5.119702,547.2196
UV,UV3 (428),846,150,21.55172,669.618,1.691048,2010.17
UV,UV4 (443),1216,195,19.09892,593.049,1.70527,2661.854
UV,UV5 (458),750,106,16.45963,642.084,1.815853,3624.76
UV,UV6 (473),607,89,17.18147,981.638,1.892332,5942.464
UV,UV7 (514),778,126,19.32515,1404.479,1.943615,8463.828
UV,UV8 (542),605,94,18.3953,851.436,1.985191,5165.893
UV,UV9 (582),804,122,17.88856,1319.427,1.783174,5258.535
UV,UV10 (613),423,54,14.63415,1561.667,1.795668,5264.827
UV,UV11 (664),575,101,21.30802,856.7315,1.595455,2575.083
UV,UV12 (692),536,83,18.3223,428.9685,1.533035,1381.22
UV,UV13 (720),714,116,19.39799,405.0275,1.493491,1263.165
UV,UV14 (750),1204,164,15.76923,1380.406,1.444377,1770.473
UV,UV15 (780),886,117,15.21456,1773.191,1.572045,921.199
UV,UV16 (812),1148,123,12,2057.004,2.237442,803.4608
Violet,V1 (428),292,5,1.74216,465.972,2.963259,956.6365
Violet,V2 (443),354,8,2.312139,1069.145,2.653629,2172.477
Violet,V3 (458),262,7,2.745098,1230.74,2.573931,3324.765
Violet,V4 (473),191,7,3.804348,1197.4,2.483834,3413.584
Violet,V5 (508),226,5,2.262444,1126.533,2.714232,3144.793
Violet,V6 (525),197,6,3.141361,829.864,2.782829,2410.555
Violet,V7 (542),264,11,4.347826,954.51,2.794127,2324.814
Violet,V8 (581),393,7,1.813472,1022.18,2.310026,1551.114
Violet,V9 (598),274,-3,-1.083032,1233.853,2.40151,1029.555
Violet,V10 (615),308,-2,-0.6451613,2110.018,2.271786,961.196
Violet,V11 (664),263,17,6.910569,1019.972,2.084869,442.9401
Violet,V12 (692),241,15,6.637168,504.0885,2.113359,242.0518
Violet,V13 (720),234,7,3.0837,500.1065,2.494159,144.7711
Violet,V14 (750),317,2,0.6349207,1249.201,2.862909,125.0876
Violet,V15 (780),582,3,0.5181347,1812.723,2.452516,71.31493
Violet,V16 (812),328,-3,-0.9063444,1375.328,3.317112,27.33451
Blue,B1 (508),1155,30,2.666667,143.362,2.054728,396.2005
Blue,B2 (525),513,15,3.012048,133.7735,1.678186,465.709
Blue,B3 (542),532,12,2.307692,276.916,1.527144,1183.646
Blue,B4 (581),508,1,0.1972387,484.2185,1.499527,1353.839
Blue,B5 (598),512,-2,-0.3891051,690.655,1.43871,1280.82
Blue,B6 (615),323,1,0.310559,887.197,1.166013,1003.471
Blue,B7 (661),621,21,3.5,629.1485,1.116366,663.2867
Blue,B8 (679),517,23,4.65587,465.183,1.090505,587.8011
Blue,B9 (697),791,29,3.805774,389.31,1.77844,419.6162
Blue,B10 (717),605,27,4.67128,254.97,1.419147,239.5091
Blue,B11 (738),354,11,3.206997,345.513,1.734435,140.2816
Blue,B12 (760),450,11,2.505695,589.698,1.960905,113.8379
Blue,B13 (783),764,12,1.595745,620.5405,1.400835,74.86849
Blue,B14 (812),701,-3,-0.4261364,1016.665,1.71361,73.12051
Red,R1 (661),224,34,17.89474,387.007,2.238998,1754.664
Red,R2 (679),354,45,14.56311,523.2275,2.924558,3272.135
Red,R3 (697),413,52,14.40443,417.4145,2.536974,2458.5
Red,R4 (717),333,36,12.12121,358.241,2.204266,1524.82
Red,R5 (738),242,16,7.079646,653.547,1.829375,1210.035
Red,R6 (760),356,19,5.637982,940.618,2.944358,842.2683
Red,R7 (783),596,22,3.832753,1286.991,2.532521,678.2847
Red,R8 (812),258,5,1.976285,931.517,3.05672,261.1935


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-19.875,1.15912,9.855
Blue,0,1.103067,1.0875
Red,20.225,0.910598,73.684
UV,39.625,0.8467028,0
FSC Area Scaling Factor,1.155721,Window Extension,3
Flow Rate,28.62
Temperature,23.62
