DailyQCReport_V0333_20250612_090903


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,576,26,4.727273,2053.708,4.562067,639.196
Violet,SSC,178,8,4.705883,2010.605,4.912436,11117.73
Blue,SSC-B,151,-11,-6.790123,1992.824,4.0029,12352.22
UV,UV1 (373),872,148,20.44199,301.252,9.467643,53.8924
UV,UV2 (388),267,38,16.59389,2031.522,7.162496,493.4737
UV,UV3 (428),626,84,15.49816,1537.315,7.153526,1723.752
UV,UV4 (443),948,144,17.91045,1249.12,6.847332,2389.161
UV,UV5 (458),583,88,17.77778,1235.024,6.632482,3054.095
UV,UV6 (473),470,70,17.5,1559.12,6.554356,5098.873
UV,UV7 (514),608,93,18.05825,1695.296,6.58339,6885.828
UV,UV8 (542),478,74,18.31683,1057.917,6.451685,4484.375
UV,UV9 (582),629,88,16.26617,1368.781,6.396848,4431.574
UV,UV10 (613),342,38,12.5,1246.875,6.266131,4635.966
UV,UV11 (664),442,69,18.49866,598.424,6.482307,2229.884
UV,UV12 (692),407,52,14.64789,498.635,6.368147,1165.016
UV,UV13 (720),536,60,12.60504,552.184,6.24253,1103.193
UV,UV14 (750),920,100,12.19512,656.287,6.306639,1620.131
UV,UV15 (780),692,72,11.6129,609.926,6.294775,791.1719
UV,UV16 (812),948,49,5.4505,861.276,6.835289,695.8034
Violet,V1 (428),341,10,3.021148,603.545,2.720544,995.8832
Violet,V2 (443),405,16,4.113111,1275.423,2.642032,2192.087
Violet,V3 (458),298,12,4.195804,1391.842,2.410398,3647.693
Violet,V4 (473),210,6,2.941176,1239.744,2.343301,3516.027
Violet,V5 (508),253,9,3.688525,1083.117,2.263342,3304.604
Violet,V6 (525),216,8,3.846154,771.114,2.275212,2383.01
Violet,V7 (542),294,12,4.255319,889.037,2.263665,2319.487
Violet,V8 (581),445,17,3.971963,768.649,2.289547,1607.766
Violet,V9 (598),302,0,0,776.768,2.165474,1030.312
Violet,V10 (615),338,-3,-0.8797654,1156.346,2.243464,964.2185
Violet,V11 (664),281,12,4.460967,521.436,2.400505,468.5718
Violet,V12 (692),243,5,2.10084,454.773,2.502151,239.4074
Violet,V13 (720),238,4,1.709402,522.603,2.400325,142.3387
Violet,V14 (750),308,5,1.650165,466.358,2.505829,122.1076
Violet,V15 (780),583,-2,-0.3418804,499.523,2.314264,73.17523
Violet,V16 (812),335,-27,-7.458564,568.826,3.034238,26.69869
Blue,B1 (508),1057,-5,-0.4708098,146.898,2.502945,378.9485
Blue,B2 (525),497,-13,-2.54902,179.496,2.289727,435.5491
Blue,B3 (542),486,-7,-1.419878,550.687,2.000166,1167.946
Blue,B4 (581),482,-8,-1.632653,747.442,2.000115,1282.708
Blue,B5 (598),462,-19,-3.950104,867.078,2.026444,1274.865
Blue,B6 (615),287,-9,-3.040541,934.565,1.964849,974.134
Blue,B7 (661),548,1,0.1828154,571.706,1.739906,623.1772
Blue,B8 (679),445,0,0,488.245,1.944379,559.6219
Blue,B9 (697),680,-12,-1.734104,601.911,1.796386,394.3015
Blue,B10 (717),504,-7,-1.369863,422.994,2.067289,233.0845
Blue,B11 (738),290,-2,-0.6849315,277.672,1.997663,122.976
Blue,B12 (760),415,-3,-0.7177033,276.012,1.974524,106.8694
Blue,B13 (783),706,-6,-0.8426966,255.157,2.160935,71.00941
Blue,B14 (812),653,-58,-8.157524,549.708,2.08974,73.76813
Red,R1 (661),174,22,14.47368,423.083,2.301013,1353.798
Red,R2 (679),250,13,5.485232,1101.635,1.996318,3032.875
Red,R3 (697),326,3,0.9287925,2047.534,1.664995,2019.114
Red,R4 (717),234,-2,-0.8474576,1985.142,1.898053,1418.032
Red,R5 (738),189,0,0,1639.38,1.692577,1036.661
Red,R6 (760),268,-1,-0.3717472,1448.908,2.381146,690.1072
Red,R7 (783),477,-5,-1.037344,1909.822,1.832027,596.8713
Red,R8 (812),222,-18,-7.5,2128.851,2.434491,229.4907


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-20.175,1.161154,9.915
Blue,0,1.177429,1.1075
Red,19.925,1.100746,73.536
UV,39.775,0.9758862,0
FSC Area Scaling Factor,1.250891,Window Extension,3
Flow Rate,11.7
Temperature,23.62
