DailyQCReport_V0333_20250725_110900


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,610,60,10.90909,2142.281,2.980633,399.1002
Violet,SSC,184,14,8.235294,2003.689,3.795695,11097.96
Blue,SSC-B,146,-16,-9.876543,1984.679,3.411822,12155.06
UV,UV1 (373),1249,525,72.51381,299.596,8.092024,53.52246
UV,UV2 (388),363,134,58.51529,2000.46,6.250581,480.5987
UV,UV3 (428),859,317,58.48709,1523.624,6.096678,1650.812
UV,UV4 (443),1293,489,60.8209,1239.312,5.882685,2217.026
UV,UV5 (458),787,292,58.9899,1204.62,5.587432,3452.511
UV,UV6 (473),634,234,58.5,1538.054,5.448168,5137.209
UV,UV7 (514),808,293,56.8932,1683.109,5.449366,7160.624
UV,UV8 (542),623,219,54.20792,1034.771,5.390758,4939.055
UV,UV9 (582),851,310,57.3013,1329.133,5.479963,4462.872
UV,UV10 (613),465,161,52.96053,1230.829,5.412799,4869.62
UV,UV11 (664),552,179,47.98928,585.518,6.045009,2292.633
UV,UV12 (692),514,159,44.78873,488.5945,5.444955,1181.808
UV,UV13 (720),686,210,44.11765,539.9605,5.431752,1205.356
UV,UV14 (750),1172,352,42.92683,640.716,5.547527,1444.3
UV,UV15 (780),914,294,47.41935,603.383,6.381733,827.9796
UV,UV16 (812),1520,621,69.07675,837.8425,21.90643,714.1084
Violet,V1 (428),359,28,8.459215,597.8555,1.768668,1073.823
Violet,V2 (443),423,34,8.740359,1281.485,1.708163,2243.718
Violet,V3 (458),310,24,8.391608,1389.676,1.640811,3439.587
Violet,V4 (473),218,14,6.862745,1234.135,1.671273,3393.444
Violet,V5 (508),260,16,6.557377,1069.285,1.835385,3439.099
Violet,V6 (525),221,13,6.25,764.179,1.902711,2484.989
Violet,V7 (542),300,18,6.382979,893.13,2.094146,2335.438
Violet,V8 (581),462,34,7.943925,772.1935,2.564041,1553.388
Violet,V9 (598),325,23,7.615894,782.6055,2.330158,1103.158
Violet,V10 (615),355,14,4.105572,1167.175,2.403463,1008.915
Violet,V11 (664),252,-17,-6.319703,518.6135,7.648896,453.1738
Violet,V12 (692),232,-6,-2.521008,458.0225,4.851513,255.8229
Violet,V13 (720),243,9,3.846154,522.259,1.681546,151.4611
Violet,V14 (750),318,15,4.950495,466.0625,1.615714,135.2222
Violet,V15 (780),622,37,6.324787,499.9005,4.115149,76.57741
Violet,V16 (812),451,89,24.58564,528.6145,26.93574,27.02683
Blue,B1 (508),1023,-39,-3.672316,143.945,3.129133,360.1397
Blue,B2 (525),490,-20,-3.921569,180.774,2.886609,424.8794
Blue,B3 (542),471,-22,-4.462475,549.783,3.143146,1237.45
Blue,B4 (581),474,-16,-3.265306,742.0325,3.207634,1411.086
Blue,B5 (598),462,-19,-3.950104,870.396,3.122922,1218.348
Blue,B6 (615),287,-9,-3.040541,936.133,2.994626,944.1918
Blue,B7 (661),516,-31,-5.667276,576.3415,4.686614,637.1519
Blue,B8 (679),421,-24,-5.393259,492.343,5.767276,582.3505
Blue,B9 (697),659,-33,-4.768786,597.763,3.130235,414.6429
Blue,B10 (717),489,-22,-4.305284,416.9,2.264742,226.654
Blue,B11 (738),286,-6,-2.054795,278.7085,2.086883,124.3581
Blue,B12 (760),408,-10,-2.392344,275.2485,1.977413,107.6663
Blue,B13 (783),732,20,2.808989,254.5155,5.352372,69.12057
Blue,B14 (812),831,120,16.87764,536.984,24.64667,66.65511
Red,R1 (661),126,-26,-17.10526,423.6095,18.11582,1388.636
Red,R2 (679),207,-30,-12.65823,1099.599,13.3877,3161.711
Red,R3 (697),309,-14,-4.334365,2079.928,4.283125,2306.872
Red,R4 (717),226,-10,-4.237288,1995.5,2.070959,1371.671
Red,R5 (738),184,-5,-2.645503,1650.843,1.665823,1091.21
Red,R6 (760),262,-7,-2.602231,1447.031,2.050697,740.8479
Red,R7 (783),499,17,3.526971,1916.73,5.748204,615.8079
Red,R8 (812),285,45,18.75,2026.777,27.49989,220.2033


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-19.875,1.135632,9.67
Blue,0,1.172367,1.0675
Red,20.125,1.065609,73.244
UV,40.525,0.9630767,0
FSC Area Scaling Factor,1.244385,Window Extension,3
Flow Rate,12.9
Temperature,21.12
