DailyQCReport_V0333_20250114_112752


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,550,0,0,2055.959,2.283103,586.5519
Violet,SSC,166,-2,-1.190476,1999.769,5.000743,10745.52
Blue,SSC-B,163,14,9.395973,2009.321,3.702453,7859.906
UV,UV1 (373),1024,36,3.643725,297.37,4.916522,50.35327
UV,UV2 (388),311,15,5.067567,2007.265,2.500112,421.8376
UV,UV3 (428),737,24,3.366059,1512.996,2.460521,1400.172
UV,UV4 (443),1125,58,5.435802,1264.927,2.231864,2278.582
UV,UV5 (458),681,24,3.652968,1230.438,2.005892,2938.914
UV,UV6 (473),537,15,2.873563,1553.287,2.005084,4671.671
UV,UV7 (514),698,25,3.71471,1725.413,1.917219,7022.878
UV,UV8 (542),537,18,3.468208,1041.002,1.864096,4192.98
UV,UV9 (582),713,32,4.698972,1375.644,2.022676,3920.958
UV,UV10 (613),396,28,7.608696,1256.552,1.99589,4392.101
UV,UV11 (664),479,1,0.209205,587.684,2.114387,1957.848
UV,UV12 (692),454,20,4.608295,496.427,2.113798,994.6359
UV,UV13 (720),596,22,3.832753,544.73,2.166605,1077.956
UV,UV14 (750),1016,36,3.673469,650.588,2.307726,1432.39
UV,UV15 (780),778,46,6.284153,610.235,2.298298,762.3833
UV,UV16 (812),1187,199,20.1417,857.187,2.867155,613.9865
Violet,V1 (428),320,10,3.225806,600.36,2.139582,947.0869
Violet,V2 (443),390,3,0.7751938,1278.423,1.822511,2142.211
Violet,V3 (458),286,1,0.3508772,1375.576,1.716239,3271.696
Violet,V4 (473),201,-4,-1.95122,1220.841,1.599738,3117.285
Violet,V5 (508),228,-5,-2.145923,1072.333,1.60639,3271.998
Violet,V6 (525),192,-1,-0.5181347,762.677,1.566323,2283.639
Violet,V7 (542),251,-3,-1.181102,897.353,1.577846,2222.262
Violet,V8 (581),386,7,1.846966,764.639,1.635205,1556.592
Violet,V9 (598),277,9,3.358209,776.449,1.585703,1030.511
Violet,V10 (615),320,14,4.575163,1174.186,1.555352,998.5194
Violet,V11 (664),259,-4,-1.520913,516.923,1.563316,438.1566
Violet,V12 (692),238,0,0,456.238,1.601772,238.3069
Violet,V13 (720),245,1,0.4098361,523.912,1.537552,147.628
Violet,V14 (750),323,-2,-0.6153846,465.995,1.598494,129.8212
Violet,V15 (780),624,5,0.8077544,499.359,2.736203,71.23638
Violet,V16 (812),420,69,19.65812,582.765,2.592092,26.15877
Blue,B1 (508),1062,-8,-0.7476636,144.091,2.46295,336.6397
Blue,B2 (525),498,-3,-0.5988024,178.897,2.103305,412.83
Blue,B3 (542),486,-5,-1.01833,546.055,1.901109,1141.593
Blue,B4 (581),487,1,0.2057613,742.887,1.690363,1201.411
Blue,B5 (598),479,1,0.209205,880.288,1.957661,1275.962
Blue,B6 (615),291,-1,-0.3424658,924.369,1.854749,919.6508
Blue,B7 (661),543,-16,-2.862254,578.144,1.752492,627.2377
Blue,B8 (679),441,-16,-3.501094,487.333,2.020135,534.4353
Blue,B9 (697),683,-19,-2.706553,598.619,1.937215,414.1133
Blue,B10 (717),496,-9,-1.782178,416.022,2.224525,234.8782
Blue,B11 (738),294,-6,-2,277.436,2.262666,123.3822
Blue,B12 (760),414,-8,-1.895735,275.192,2.314188,102.4869
Blue,B13 (783),706,7,1.001431,254.323,2.405687,67.48933
Blue,B14 (812),756,108,16.66667,549.151,2.6522,68.07219
Red,R1 (661),141,-33,-18.96552,420.898,2.315261,1361.952
Red,R2 (679),229,-28,-10.89494,1093.159,2.179885,2937.516
Red,R3 (697),316,-17,-5.105105,2065.071,1.830187,1996.914
Red,R4 (717),223,-15,-6.302521,1957.468,2.193688,1290.594
Red,R5 (738),182,-8,-4.210526,1641.707,2.049854,991.272
Red,R6 (760),260,-8,-2.985075,1445.008,2.858701,712.6392
Red,R7 (783),479,0,0,1911.066,1.913098,543.5782
Red,R8 (812),255,37,16.97248,2126.009,2.821629,223.9428


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-20.15,1.16338,9.974999
Blue,0,1.176799,1.1075
Red,20,1.10852,73.784
UV,40.175,1.062474,0
FSC Area Scaling Factor,1.258074,Window Extension,3
Flow Rate,18.72
Temperature,25.12
