DailyQCReport_V0333_20250130_104746


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,550,0,0,2032.823,1.953411,734.0876
Violet,SSC,171,3,1.785714,2010.781,4.703906,10809.91
Blue,SSC-B,164,15,10.06711,2010.761,3.167057,9338.492
UV,UV1 (373),1133,145,14.67611,309.5635,3.33908,50.37779
UV,UV2 (388),343,47,15.87838,2028.786,1.437262,460.8541
UV,UV3 (428),784,71,9.957925,1540.853,1.462115,1514.796
UV,UV4 (443),1183,116,10.8716,1238.812,1.462597,2142.152
UV,UV5 (458),729,72,10.9589,1210.205,1.190139,2795.82
UV,UV6 (473),578,56,10.72797,1529.373,1.155278,4676.221
UV,UV7 (514),754,81,12.03566,1716.592,1.104234,7135.508
UV,UV8 (542),578,59,11.36802,1043.683,1.194297,4303.88
UV,UV9 (582),762,81,11.89427,1371.324,1.238171,3936.362
UV,UV10 (613),426,58,15.76087,1245.787,1.193007,4643.739
UV,UV11 (664),518,40,8.368201,590.248,1.24641,2135.963
UV,UV12 (692),489,55,12.67281,501.018,1.265277,1042.757
UV,UV13 (720),638,64,11.14983,543.906,1.404612,1175.735
UV,UV14 (750),1093,113,11.53061,653.295,1.585914,1401.406
UV,UV15 (780),835,103,14.07104,609.037,1.501003,759.8176
UV,UV16 (812),1262,274,27.73279,864.8105,2.076247,635.0414
Violet,V1 (428),333,23,7.419354,600.7615,1.610585,995.3157
Violet,V2 (443),389,2,0.5167959,1278.816,1.39859,2201.486
Violet,V3 (458),277,-8,-2.807018,1375.908,1.333794,3197.488
Violet,V4 (473),195,-10,-4.878048,1240.109,1.31452,3285.093
Violet,V5 (508),218,-15,-6.437768,1073.789,1.349856,3315.714
Violet,V6 (525),190,-3,-1.554404,763.79,1.331871,2323.177
Violet,V7 (542),255,1,0.3937008,887.028,1.312515,2350.378
Violet,V8 (581),413,34,8.970977,771.0745,1.368242,1506.618
Violet,V9 (598),300,32,11.9403,775.2245,1.333627,1003.153
Violet,V10 (615),347,41,13.39869,1176.512,1.357397,983.5734
Violet,V11 (664),274,11,4.182509,516.7745,1.349571,419.2175
Violet,V12 (692),248,10,4.201681,456.648,1.393292,236.1181
Violet,V13 (720),250,6,2.459016,523.4275,1.344104,144.5486
Violet,V14 (750),323,-2,-0.6153846,466.582,1.379167,132.8865
Violet,V15 (780),617,-2,-0.3231018,500.9715,2.560522,74.39117
Violet,V16 (812),401,50,14.24501,581.891,2.413879,26.08672
Blue,B1 (508),1057,-13,-1.214953,144.2275,2.423707,362.2644
Blue,B2 (525),497,-4,-0.7984032,178.485,2.024209,389.3157
Blue,B3 (542),489,-2,-0.407332,543.642,1.87743,1118.172
Blue,B4 (581),489,3,0.6172839,751.114,1.777106,1300.266
Blue,B5 (598),481,3,0.6276151,877.6985,2.052916,1224.23
Blue,B6 (615),295,3,1.027397,941.028,2.055546,926.3733
Blue,B7 (661),548,-11,-1.9678,576.6795,2.01275,622.512
Blue,B8 (679),440,-17,-3.719913,485.2135,2.262623,601.6768
Blue,B9 (697),693,-9,-1.282051,607.706,2.198766,406.5248
Blue,B10 (717),502,-3,-0.5940594,423.1625,2.447935,228.0461
Blue,B11 (738),297,-3,-1,279.278,2.417639,116.6875
Blue,B12 (760),417,-5,-1.184834,276.174,2.5968,109.3643
Blue,B13 (783),707,8,1.144492,256.1595,2.606823,68.28753
Blue,B14 (812),751,103,15.89506,555.8925,2.786231,67.87047
Red,R1 (661),143,-31,-17.81609,420.008,2.138997,1327.775
Red,R2 (679),231,-26,-10.11673,1092.686,2.037123,2896.858
Red,R3 (697),316,-17,-5.105105,2053.78,1.693133,2056.401
Red,R4 (717),226,-12,-5.042017,1986.203,2.010542,1435.707
Red,R5 (738),185,-5,-2.631579,1656.917,1.921175,1050.834
Red,R6 (760),263,-5,-1.865672,1453.55,2.54328,732.4164
Red,R7 (783),481,2,0.4175366,1916.833,1.788115,542.8641
Red,R8 (812),253,35,16.05505,2130.297,2.509622,218.7036


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-20.125,1.16362,9.915
Blue,0,1.176244,1.1075
Red,20.05,1.108796,73.732
UV,40.325,1.042561,0
FSC Area Scaling Factor,1.257805,Window Extension,3
Flow Rate,13.93
Temperature,24.88
