DailyQCReport_V0333_20251128_110623


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,509,-101,-16.55738,2056.603,1.952121,217.8078
Violet,SSC,224,36,19.14894,2007.49,5.676874,12657.05
Blue,SSC-B,163,30,22.55639,2005.736,4.474034,11092.1
UV,UV1 (373),1261,300,31.21748,306.897,6.908872,60.91817
UV,UV2 (388),372,100,36.76471,2037.645,4.061925,566.903
UV,UV3 (428),911,255,38.87195,1535.606,3.06786,1826.561
UV,UV4 (443),1391,418,42.95992,1268.323,2.928693,2678.707
UV,UV5 (458),816,229,39.01192,1190.735,2.801266,3121.508
UV,UV6 (473),671,190,39.50104,1539.668,2.743584,5425.176
UV,UV7 (514),871,242,38.47377,1731.333,2.720449,7200.802
UV,UV8 (542),670,187,38.71635,1033.711,2.590272,5183.911
UV,UV9 (582),935,268,40.17991,1384.73,2.740818,4810.343
UV,UV10 (613),485,135,38.57143,1235.068,2.696975,5148.846
UV,UV11 (664),608,160,35.71429,587.353,2.759104,2346.177
UV,UV12 (692),544,131,31.71913,487.6285,2.685516,1326.757
UV,UV13 (720),712,167,30.6422,544.8745,2.725937,1275.724
UV,UV14 (750),1217,274,29.0562,644.993,2.807844,1552.4
UV,UV15 (780),913,198,27.69231,602.872,2.895231,861.5556
UV,UV16 (812),1316,297,29.14622,846.5005,3.375059,716.8818
Violet,V1 (428),397,44,12.46459,605.0105,2.633787,1090.184
Violet,V2 (443),468,56,13.59223,1278.91,2.380526,2464.411
Violet,V3 (458),343,42,13.95349,1397.125,2.259805,3683.627
Violet,V4 (473),246,31,14.4186,1253.716,2.452695,3481.516
Violet,V5 (508),295,44,17.52988,1065.248,2.551001,3761.571
Violet,V6 (525),255,39,18.05556,766.18,2.197316,2526.664
Violet,V7 (542),354,56,18.79195,901.5505,2.059264,2711.92
Violet,V8 (581),537,90,20.13423,773.4935,2.171156,1631.166
Violet,V9 (598),360,53,17.26384,773.5915,2.554454,1166.603
Violet,V10 (615),391,48,13.99417,1174.032,2.382276,1101.918
Violet,V11 (664),295,28,10.48689,513.761,2.461474,486.6409
Violet,V12 (692),264,35,15.28384,456.5195,2.47803,263.9966
Violet,V13 (720),273,38,16.17021,523.977,2.4405,168.6381
Violet,V14 (750),371,54,17.0347,466.7515,2.624569,136.6185
Violet,V15 (780),699,106,17.87521,498.0645,2.427367,81.22297
Violet,V16 (812),425,75,21.42857,572.209,3.016614,30.80725
Blue,B1 (508),1166,150,14.76378,146.011,2.708091,402.2389
Blue,B2 (525),546,58,11.88525,177.21,2.208705,473.7182
Blue,B3 (542),531,66,14.19355,545.1475,2.083905,1118.889
Blue,B4 (581),524,57,12.20557,733.4225,1.93996,1332.474
Blue,B5 (598),503,50,11.03753,871.306,2.187665,1274.337
Blue,B6 (615),302,24,8.633094,924.622,2.035727,980.4929
Blue,B7 (661),584,55,10.39698,573.107,1.938988,629.0271
Blue,B8 (679),454,28,6.57277,481.394,2.178786,557.277
Blue,B9 (697),693,30,4.524887,605.4225,2.127051,400.0129
Blue,B10 (717),498,11,2.258727,413.314,2.326359,231.9828
Blue,B11 (738),294,10,3.521127,276.464,2.351769,128.5861
Blue,B12 (760),416,12,2.970297,274.7895,2.354407,103.598
Blue,B13 (783),688,-5,-0.7215007,254.4075,2.526736,74.49243
Blue,B14 (812),679,13,1.951952,545.932,2.523688,71.51867
Red,R1 (661),177,9,5.357143,421.034,2.307464,1508.579
Red,R2 (679),260,10,4,1094.453,2.148367,3388.855
Red,R3 (697),348,6,1.754386,2035.188,1.707069,2442.816
Red,R4 (717),255,16,6.694561,1975.761,1.941109,1329.67
Red,R5 (738),204,10,5.154639,1641.991,1.92902,1089.522
Red,R6 (760),288,9,3.225806,1445.794,2.426713,811.2409
Red,R7 (783),535,4,0.7532957,1911.011,1.782473,661.9045
Red,R8 (812),256,18,7.563025,2114.561,2.810266,267.9663


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-19.275,1.053955,9.485001
Blue,0,1.145408,0.945
Red,20,0.9940382,72.948
UV,40.4,0.8849257,0
FSC Area Scaling Factor,1.204701,Window Extension,3
Flow Rate,19
Temperature,19
