DailyQCReport_V0333_20260302_105949


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,526,26,5.2,2020.753,3.19082,365.7121
Violet,SSC,245,-3,-1.209677,1987.275,5.105551,12247.72
Blue,SSC-B,158,6,3.947368,1989.694,3.820968,11739.33
UV,UV1 (373),564,74,15.10204,223.174,5.547531,64.69315
UV,UV2 (388),363,42,13.08411,1326.068,4.026964,414.7539
UV,UV3 (428),294,33,12.64368,1015.971,4.234973,1758.729
UV,UV4 (443),272,31,12.86307,881.854,3.98146,2071.929
UV,UV5 (458),353,41,13.14103,956.247,3.992857,3006.732
UV,UV6 (473),496,64,14.81481,1480.8,3.959711,5042.915
UV,UV7 (514),722,82,12.8125,2026.734,4.065593,7383.995
UV,UV8 (542),634,75,13.41682,1535.081,3.815537,2918.105
UV,UV9 (582),793,92,13.12411,2435.313,3.935322,4421.468
UV,UV10 (613),494,52,11.76471,1947.483,3.858749,4642.561
UV,UV11 (664),649,83,14.66431,879.003,3.974342,2316.916
UV,UV12 (692),556,55,10.97804,661.522,4.039155,1251.343
UV,UV13 (720),752,71,10.42584,696.912,4.029277,1151.792
UV,UV14 (750),1485,113,8.236152,794.843,4.176342,1591.802
UV,UV15 (780),1137,99,9.537573,634.749,4.284958,968.6388
UV,UV16 (812),1640,120,7.894736,421.741,4.410964,705.9521
Violet,V1 (428),435,2,0.4618938,801.846,5.28297,1114.794
Violet,V2 (443),520,-27,-4.936015,1887.814,5.381365,2543.039
Violet,V3 (458),384,-42,-9.859155,2159.814,5.531084,3825.987
Violet,V4 (473),281,-33,-10.50955,2200.423,5.438489,3729.366
Violet,V5 (508),341,-23,-6.318682,2051.516,5.313924,3623.111
Violet,V6 (525),307,2,0.6557377,1529.05,5.088157,2515.012
Violet,V7 (542),414,25,6.426735,2052.388,5.004158,2743.411
Violet,V8 (581),654,64,10.84746,2395.853,4.866323,1637.001
Violet,V9 (598),459,45,10.86957,2299.903,4.96993,1183.823
Violet,V10 (615),494,27,5.781585,3290.55,4.78845,1060.762
Violet,V11 (664),355,-16,-4.312668,1340.271,4.692488,473.1374
Violet,V12 (692),306,-39,-11.30435,1021.724,4.594445,277.125
Violet,V13 (720),303,-50,-14.16431,1105.813,4.65288,163.755
Violet,V14 (750),404,-71,-14.94737,932.007,4.783875,139.107
Violet,V15 (780),761,-143,-15.81858,813.832,5.041224,82.38134
Violet,V16 (812),460,-65,-12.38095,360.689,4.961748,32.39592
Blue,B1 (508),1153,38,3.408072,228.883,2.259781,396.0811
Blue,B2 (525),544,9,1.682243,278.16,1.804741,422.9041
Blue,B3 (542),524,21,4.17495,1061.6,1.625587,1234.809
Blue,B4 (581),526,15,2.935421,1654.954,1.644171,1233.414
Blue,B5 (598),513,12,2.39521,1828.917,1.524918,1331.555
Blue,B6 (615),317,6,1.92926,1900.113,1.572449,1266.481
Blue,B7 (661),603,13,2.20339,1144.914,1.503258,647.0492
Blue,B8 (679),482,9,1.902748,928.62,1.583264,570.2877
Blue,B9 (697),733,-2,-0.2721089,1120.55,1.701407,433.8715
Blue,B10 (717),535,-3,-0.5576208,770.01,1.675819,231.2765
Blue,B11 (738),317,1,0.3164557,508.625,1.828453,128.5143
Blue,B12 (760),454,1,0.2207506,491.282,2.063262,105.8895
Blue,B13 (783),782,0,0,386.392,1.998849,71.27378
Blue,B14 (812),703,-4,-0.5657709,386.81,1.929401,69.43127
Red,R1 (661),160,4,2.564103,389.748,2.646817,1492.677
Red,R2 (679),269,4,1.509434,1083.375,2.195467,3098.24
Red,R3 (697),373,-2,-0.5333333,2021.414,1.947226,2525.143
Red,R4 (717),263,1,0.3816794,1922.764,2.669245,1308.373
Red,R5 (738),215,-2,-0.921659,1615.714,2.614274,1131.902
Red,R6 (760),308,-5,-1.597444,1407.665,5.586587,783.4907
Red,R7 (783),609,-4,-0.6525285,1573.162,2.110424,606.9814
Red,R8 (812),238,-3,-1.244813,778.373,3.163748,267.6618


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-19.7,1.026001,9.67
Blue,0,1.166207,0.9875001
Red,20.275,1.035537,73
UV,40.2,0.9248956,0
FSC Area Scaling Factor,1.234553,Window Extension,3
Flow Rate,24.44
Temperature,21.5
