DailyQCReport_V0333_20241218_112906


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,550,0,0,2035.756,1.844555,524.9252
Violet,SSC,165,-3,-1.785714,2000.556,5.006974,10764.91
Blue,SSC-B,162,13,8.724833,1987.72,3.86955,9113.377
UV,UV1 (373),1020,32,3.238867,301.687,3.213778,49.49506
UV,UV2 (388),307,11,3.716216,2018.843,1.459672,455.8426
UV,UV3 (428),730,17,2.384292,1543.733,1.467152,1499.875
UV,UV4 (443),1091,24,2.249297,1229.234,1.633341,2114.145
UV,UV5 (458),671,14,2.130898,1230.927,1.478421,3025.356
UV,UV6 (473),533,11,2.10728,1557.484,1.481081,4603.85
UV,UV7 (514),694,21,3.120357,1719.41,1.436823,6919.776
UV,UV8 (542),526,7,1.348748,1029.166,1.566522,4146.942
UV,UV9 (582),699,18,2.643172,1374.76,1.501443,3976.753
UV,UV10 (613),380,12,3.26087,1239.889,1.429358,4475.127
UV,UV11 (664),483,5,1.046025,590.086,1.387726,2063.301
UV,UV12 (692),445,11,2.534562,494.206,1.396678,1076.159
UV,UV13 (720),593,19,3.310104,543.602,1.544935,1072.433
UV,UV14 (750),1016,36,3.673469,653.999,1.750804,1404.778
UV,UV15 (780),770,38,5.191257,602.815,1.855341,734.3505
UV,UV16 (812),1208,220,22.26721,862.054,4.11461,642.5265
Violet,V1 (428),316,6,1.935484,602.907,1.988331,954.419
Violet,V2 (443),376,-11,-2.842377,1275.917,1.776349,2140.683
Violet,V3 (458),273,-12,-4.210526,1389.68,1.699198,3168.603
Violet,V4 (473),193,-12,-5.853659,1233.215,1.720265,3391.535
Violet,V5 (508),223,-10,-4.291845,1073.143,1.785248,3392.938
Violet,V6 (525),198,5,2.590674,770.359,1.709419,2432.181
Violet,V7 (542),268,14,5.511811,898.324,1.685457,2294.375
Violet,V8 (581),431,52,13.72032,767.944,1.732996,1552.354
Violet,V9 (598),306,38,14.1791,773.686,1.668386,995.0576
Violet,V10 (615),342,36,11.76471,1176.24,1.671467,972.9426
Violet,V11 (664),253,-10,-3.802281,519.307,1.924762,436.7503
Violet,V12 (692),219,-19,-7.983193,459.214,1.901804,249.9548
Violet,V13 (720),216,-28,-11.47541,523.47,1.743953,154.6495
Violet,V14 (750),279,-46,-14.15385,461.939,1.719223,119.8482
Violet,V15 (780),539,-80,-12.92407,500.037,2.728397,70.84274
Violet,V16 (812),386,35,9.97151,582.475,4.585987,27.0126
Blue,B1 (508),1058,-12,-1.121495,144.46,2.472275,371.1808
Blue,B2 (525),498,-3,-0.5988024,178.096,2.095972,399.4802
Blue,B3 (542),492,1,0.203666,549.589,1.946155,1130.315
Blue,B4 (581),489,3,0.6172839,749.037,1.832257,1291.955
Blue,B5 (598),477,-1,-0.209205,877.607,2.103169,1242.033
Blue,B6 (615),292,0,0,929.734,2.035948,934.2573
Blue,B7 (661),545,-14,-2.504472,569.106,1.915997,622.1774
Blue,B8 (679),443,-14,-3.063457,480.042,2.132958,576.2476
Blue,B9 (697),700,-2,-0.2849003,603.374,1.962465,386.696
Blue,B10 (717),512,7,1.386139,422.152,2.236849,244.2493
Blue,B11 (738),301,1,0.3333333,277.11,2.27282,119.074
Blue,B12 (760),422,0,0,273.968,2.40746,105.2611
Blue,B13 (783),717,18,2.575107,252.098,2.672525,71.20197
Blue,B14 (812),781,133,20.52469,551.774,4.779725,65.75464
Red,R1 (661),153,-21,-12.06896,428.143,2.601115,1380.98
Red,R2 (679),234,-23,-8.949416,1082.49,2.052981,2704.13
Red,R3 (697),319,-14,-4.204204,2056.644,1.467581,2001.445
Red,R4 (717),232,-6,-2.521008,1998.855,2.007676,1363.394
Red,R5 (738),186,-4,-2.105263,1642.815,1.852144,1018.78
Red,R6 (760),263,-5,-1.865672,1434.683,2.655949,723.5457
Red,R7 (783),495,16,3.340292,1927.149,2.126225,552.1682
Red,R8 (812),263,45,20.6422,2136.447,5.323758,216.9769


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-20.125,1.160029,9.915
Blue,0,1.176337,1.0875
Red,20.05,1.108127,73.784
UV,40.3,1.063278,0
FSC Area Scaling Factor,1.253723,Window Extension,3
Flow Rate,16
Temperature,24.5
