DailyQCReport_V0333_20250919_090014


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,610,0,0,1996.622,2.66933,196.931
Violet,SSC,203,15,7.978723,2009.179,5.395452,12517.06
Blue,SSC-B,141,8,6.015038,1993.126,3.193529,12138.65
UV,UV1 (373),1078,117,12.17482,310.113,4.703366,59.73041
UV,UV2 (388),299,27,9.926471,2010.631,2.828071,516.674
UV,UV3 (428),732,76,11.58537,1552.803,1.953544,1861.995
UV,UV4 (443),1079,106,10.89414,1250.546,1.9827,2469.247
UV,UV5 (458),646,59,10.05111,1199.771,1.875979,3605.788
UV,UV6 (473),526,45,9.355509,1540.434,1.650945,5186.417
UV,UV7 (514),690,61,9.697933,1701.872,1.547507,8489.45
UV,UV8 (542),534,51,10.55901,1032.166,1.560351,4892.788
UV,UV9 (582),751,84,12.5937,1382.724,1.568255,4985.133
UV,UV10 (613),398,48,13.71428,1249.238,1.505236,5028.928
UV,UV11 (664),499,51,11.38393,590.646,1.578859,2474.806
UV,UV12 (692),457,44,10.65375,495.192,1.592512,1235.469
UV,UV13 (720),595,50,9.174312,548.8625,1.615173,1315.496
UV,UV14 (750),1015,72,7.635207,655.4365,1.776616,1481.93
UV,UV15 (780),765,50,6.993007,608.267,1.757295,823.1877
UV,UV16 (812),1086,67,6.575073,866.638,2.369998,725.284
Violet,V1 (428),374,21,5.949008,599.9045,2.762677,973.6975
Violet,V2 (443),438,26,6.31068,1265.132,2.221134,2380.632
Violet,V3 (458),321,20,6.644518,1373.789,2.186286,3638.471
Violet,V4 (473),230,15,6.976745,1227.806,2.22594,3631.656
Violet,V5 (508),273,22,8.76494,1064.984,2.098718,3489.615
Violet,V6 (525),233,17,7.87037,764.3615,1.988153,2659.822
Violet,V7 (542),317,19,6.375839,892.5295,1.901477,2625.301
Violet,V8 (581),486,39,8.724833,768.4555,1.883431,1742.745
Violet,V9 (598),339,32,10.42345,771.5265,2.133214,1127.874
Violet,V10 (615),374,31,9.037901,1166.481,2.044715,1067.971
Violet,V11 (664),285,18,6.741573,515.961,2.063938,513.6675
Violet,V12 (692),256,27,11.79039,459.9465,2.098684,255.9228
Violet,V13 (720),250,15,6.382979,521.9465,2.196651,156.968
Violet,V14 (750),325,8,2.523659,465.534,2.234444,136.8969
Violet,V15 (780),609,16,2.698145,499.537,2.286757,86.25039
Violet,V16 (812),383,33,9.428571,575.171,3.014464,31.28919
Blue,B1 (508),1050,34,3.346457,141.579,3.130561,375.1574
Blue,B2 (525),506,18,3.688525,179.7485,2.858937,436.6504
Blue,B3 (542),484,19,4.086021,539.5455,2.834015,1209.451
Blue,B4 (581),491,24,5.139186,748.147,2.791099,1358.189
Blue,B5 (598),482,29,6.401766,876.3395,2.986552,1302.835
Blue,B6 (615),295,17,6.115108,937.2435,3.050339,1017.281
Blue,B7 (661),552,23,4.347826,580.171,2.934666,662.5557
Blue,B8 (679),452,26,6.103287,491.8845,3.102712,586.6026
Blue,B9 (697),702,39,5.882353,601.488,3.045139,450.2326
Blue,B10 (717),513,26,5.338809,422.4955,3.320444,244.3022
Blue,B11 (738),299,15,5.28169,277.556,3.338416,131.2086
Blue,B12 (760),425,21,5.19802,276.933,3.303201,107.4072
Blue,B13 (783),725,32,4.617605,257.0155,3.312669,74.99418
Blue,B14 (812),696,30,4.504504,551.2385,3.385019,71.57996
Red,R1 (661),167,-1,-0.5952381,418.094,2.285649,1490.837
Red,R2 (679),262,12,4.8,1102.067,2.017728,3513.299
Red,R3 (697),354,12,3.508772,2068.781,1.578557,2637.385
Red,R4 (717),250,11,4.60251,1972.17,2.055161,1400.997
Red,R5 (738),200,6,3.092783,1647.695,1.912614,1110.478
Red,R6 (760),288,9,3.225806,1452.337,3.07041,834.5239
Red,R7 (783),545,14,2.636535,1911.978,1.741092,622.7719
Red,R8 (812),246,8,3.361345,2119.579,2.468662,263.4911


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-19.35,1.070457,9.545
Blue,0,1.143463,1.0275
Red,20.125,0.9917006,73
UV,40.875,0.928422,0
FSC Area Scaling Factor,1.194098,Window Extension,3
Flow Rate,17.11
Temperature,19.38
