DailyQCReport_V0333_20260504_104623


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,479,25,5.506608,2006.292,1.203287,364.3069
Violet,SSC,117,-2,-1.680672,1977.652,2.793875,11203.9
Blue,SSC-B,121,1,0.8333334,1963.999,2.835686,11446.78
UV,UV1 (373),541,68,14.37632,218.4125,4.07715,66.10884
UV,UV2 (388),331,41,14.13793,1302.627,3.72663,419.064
UV,UV3 (428),260,31,13.53712,986.08,4.613085,1862.984
UV,UV4 (443),244,30,14.01869,872.674,4.551906,2296.476
UV,UV5 (458),312,36,13.04348,939.5725,4.667565,3208.146
UV,UV6 (473),440,52,13.40206,1443.139,4.729317,5012.708
UV,UV7 (514),643,77,13.60424,1972.724,4.763964,8131.065
UV,UV8 (542),559,61,12.249,1503.974,4.487394,3186.203
UV,UV9 (582),710,76,11.98738,2387.209,4.471037,4602.733
UV,UV10 (613),438,50,12.8866,1895.091,4.389653,4687.148
UV,UV11 (664),569,60,11.78782,848.51,4.46989,2484.521
UV,UV12 (692),492,55,12.58581,643.1605,4.497911,1373.338
UV,UV13 (720),671,76,12.77311,677.3835,4.49287,1184.005
UV,UV14 (750),1306,133,11.33845,780.5555,4.58338,1920.339
UV,UV15 (780),1031,119,13.04825,627.1555,4.715836,991.698
UV,UV16 (812),1432,164,12.93375,415.0375,4.749396,727.3943
Violet,V1 (428),194,-4,-2.020202,790.665,0.7949832,918.5134
Violet,V2 (443),240,-4,-1.639344,1839.623,0.6663713,2223.125
Violet,V3 (458),191,-2,-1.036269,2167.69,0.7271823,3593.579
Violet,V4 (473),141,-2,-1.398601,2193.015,0.6368414,3583.294
Violet,V5 (508),171,-5,-2.840909,2024.562,0.555126,3460.826
Violet,V6 (525),150,-6,-3.846154,1508.248,0.5464864,2343.688
Violet,V7 (542),202,-6,-2.884615,2019.461,0.543864,2407.273
Violet,V8 (581),314,-5,-1.567398,2388.603,0.683163,1492.461
Violet,V9 (598),213,-1,-0.4672897,2265.138,0.6073934,1113.684
Violet,V10 (615),242,-2,-0.8196721,3220.417,0.6670768,940.4047
Violet,V11 (664),191,-7,-3.535353,1327.385,0.6889998,455.6359
Violet,V12 (692),173,-3,-1.704545,1032.674,0.7400798,246.9156
Violet,V13 (720),170,-8,-4.494382,1126.619,1.067209,152.5333
Violet,V14 (750),219,-15,-6.410257,922.4175,1.668128,121.2921
Violet,V15 (780),450,-26,-5.462185,809.514,1.947435,76.92079
Violet,V16 (812),249,-6,-2.352941,347.4665,1.807393,26.36212
Blue,B1 (508),1115,-19,-1.675485,222.171,1.938517,371.6363
Blue,B2 (525),510,-5,-0.9708738,271.1205,1.501337,451.2778
Blue,B3 (542),420,-11,-2.552204,1037.677,1.288333,1186.075
Blue,B4 (581),405,-7,-1.699029,1625.118,1.359838,1497.333
Blue,B5 (598),391,-12,-2.977668,1789.689,1.182438,1269.072
Blue,B6 (615),240,-5,-2.040816,1859.672,1.336757,1292.666
Blue,B7 (661),462,-7,-1.492537,1119.794,1.196991,737.8051
Blue,B8 (679),366,-7,-1.876675,910.6325,1.371798,533.8215
Blue,B9 (697),568,-12,-2.068965,1109.207,1.603141,438.4449
Blue,B10 (717),415,-4,-0.954654,767.9415,1.608845,246.2615
Blue,B11 (738),247,-2,-0.8032128,502.17,1.725953,131.834
Blue,B12 (760),348,-3,-0.8547009,489.0085,2.424453,107.7244
Blue,B13 (783),614,-11,-1.76,384.1665,1.909419,71.07529
Blue,B14 (812),551,-2,-0.3616637,385.7485,2.005372,69.6599
Red,R1 (661),150,-2,-1.315789,389.439,1.871254,1424.641
Red,R2 (679),238,-2,-0.8333334,1065.072,1.908321,3127.061
Red,R3 (697),323,0,0,2009.479,1.77566,2297.325
Red,R4 (717),236,3,1.287554,1938.549,1.845808,1265.368
Red,R5 (738),195,3,1.5625,1608.874,1.912849,1091.775
Red,R6 (760),281,8,2.930403,1400.021,2.635067,762.592
Red,R7 (783),520,2,0.3861004,1571.238,1.997015,561.6937
Red,R8 (812),225,6,2.739726,776.922,2.718829,239.6029


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-20.175,1.173159,64.445
Blue,0,1.132938,82.42751
Red,19.95,1.075078,72.608
UV,39.625,0.8649392,0
FSC Area Scaling Factor,1.215384,Window Extension,3
Flow Rate,11.04
Temperature,20.38
