DailyQCReport_R0026_20241211_100747


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,424,0,0,1941.631,3.942091,1895.3
Violet,SSC,843,34,4.202719,1959.652,8.276761,6529.777
Blue,SSC-B,128,5,4.065041,1982.883,1.441707,11200.2
Violet,V1 (428),537,34,6.759443,606.212,4.76299,753.179
Violet,V2 (443),597,31,5.477032,1260.736,5.174917,1686.754
Violet,V3 (458),821,71,9.466667,1404.814,5.108821,2241.762
Violet,V4 (473),533,35,7.028112,1229.954,5.048416,3009.589
Violet,V5 (508),718,44,6.52819,1060.862,5.221908,2695.965
Violet,V6 (525),640,47,7.925801,768.505,5.154063,1957.241
Violet,V7 (542),858,65,8.196721,903.413,5.143019,2044.666
Violet,V8 (581),1473,108,7.912088,766.926,4.993506,1075.204
Violet,V9 (598),1189,96,8.783165,780.529,5.118215,1017.773
Violet,V10 (615),896,64,7.692308,1181.545,4.926657,939.5268
Violet,V11 (664),721,89,14.08228,507.811,4.826795,393.6332
Violet,V12 (692),621,65,11.69065,457.734,4.664526,223.3513
Violet,V13 (720),612,31,5.335628,523.151,4.443434,153.7429
Violet,V14 (750),953,58,6.480447,463.832,4.538611,113.7452
Violet,V15 (780),1099,11,1.011029,501.324,4.442912,70.25423
Violet,V16 (812),890,-293,-24.76754,576.499,5.480813,27.66803
Blue,B1 (508),663,57,9.405941,142.758,3.27172,385.1313
Blue,B2 (525),390,33,9.243698,178.743,3.004045,416.0788
Blue,B3 (542),408,36,9.677419,540.47,2.939358,1073.82
Blue,B4 (581),396,41,11.5493,746.994,2.814325,1357.431
Blue,B5 (598),328,29,9.698997,881.27,2.909123,1354.463
Blue,B6 (615),237,19,8.715596,935.927,2.900909,1267.808
Blue,B7 (661),442,49,12.46819,578.489,2.904614,662.3076
Blue,B8 (679),384,50,14.97006,489.717,3.094979,510.1897
Blue,B9 (697),505,41,8.836206,610.969,2.986013,433.8483
Blue,B10 (717),376,24,6.818182,422.949,3.250813,233.2239
Blue,B11 (738),289,15,5.474452,276.351,3.536064,140.2473
Blue,B12 (760),408,19,4.884319,274.962,3.575933,120.0645
Blue,B13 (783),480,2,0.41841,256.413,3.919765,81.51536
Blue,B14 (812),536,-148,-21.63743,554.547,4.16844,81.51964
Red,R1 (661),277,60,27.64977,418.406,1.864276,1540.003
Red,R2 (679),334,53,18.86121,1093.756,2.064942,2958.165
Red,R3 (697),408,25,6.527415,2026.307,1.955215,2180.711
Red,R4 (717),382,7,1.866667,1962.595,2.163527,1358.151
Red,R5 (738),393,13,3.421052,1637.345,2.416017,1216.196
Red,R6 (760),404,12,3.061224,1442.039,2.666535,804.6497
Red,R7 (783),1016,-12,-1.167315,1894.731,2.970621,589.8567
Red,R8 (812),429,-174,-28.85572,2141.036,3.14948,260.7354


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-26.85,1.235579,0
Blue,0,1.152962,0
Red,27.25,1.024545,0
FSC Area Scaling Factor,1.175541,Window Extension,2
Flow Rate,18.17
Temperature,25
