DailyQCReport_R0026_20250129_101612


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,445,21,4.95283,2019.967,1.974129,1525.148
Violet,SSC,363,-26,-6.683805,2008.32,4.933677,9787.296
Blue,SSC-B,128,-5,-3.759398,1985.519,3.805873,11954.87
Violet,V1 (428),338,-11,-3.151862,596.389,1.750237,958.636
Violet,V2 (443),351,-10,-2.770083,1268.641,1.386089,2012.63
Violet,V3 (458),446,-8,-1.762115,1394.547,1.467723,2851.32
Violet,V4 (473),272,1,0.3690037,1245.422,1.53896,3507.55
Violet,V5 (508),348,-6,-1.694915,1073.042,1.483417,3186.107
Violet,V6 (525),305,-4,-1.294498,765.429,1.520355,2289.4
Violet,V7 (542),408,-11,-2.625298,899.352,1.520617,2383.502
Violet,V8 (581),725,-15,-2.027027,774.673,1.781921,1368.78
Violet,V9 (598),594,-5,-0.8347246,779.872,1.567864,1299.903
Violet,V10 (615),464,2,0.4329004,1174.454,1.679516,1057.831
Violet,V11 (664),366,-18,-4.6875,525.488,1.72125,534.8171
Violet,V12 (692),321,-13,-3.892216,457.237,1.663155,250.5847
Violet,V13 (720),326,-16,-4.678363,522.996,1.542324,169.0003
Violet,V14 (750),514,-22,-4.104477,466.708,1.604606,126.1848
Violet,V15 (780),593,-21,-3.420195,503.827,1.694134,84.59029
Violet,V16 (812),538,30,5.905512,585.583,2.399464,35.43108
Blue,B1 (508),618,-26,-4.037267,141.822,1.934797,363.7535
Blue,B2 (525),366,-9,-2.4,177.925,1.505749,403.5398
Blue,B3 (542),384,-9,-2.290076,538.686,1.498275,1105.431
Blue,B4 (581),370,-7,-1.856764,733.084,1.380351,1328.331
Blue,B5 (598),314,-3,-0.9463723,872.425,1.698463,1399.059
Blue,B6 (615),227,-2,-0.8733625,920.501,1.714819,1204.133
Blue,B7 (661),411,-12,-2.836879,569.615,1.524934,668.7328
Blue,B8 (679),356,-13,-3.523035,482.91,1.768852,489.8942
Blue,B9 (697),476,-17,-3.448276,598.41,1.65778,450.246
Blue,B10 (717),356,-13,-3.523035,415.428,1.709739,219.6925
Blue,B11 (738),275,-11,-3.846154,273.835,1.70512,146.6834
Blue,B12 (760),389,-13,-3.233831,271.781,1.571932,118.8424
Blue,B13 (783),464,-7,-1.486199,251.28,1.711943,75.73087
Blue,B14 (812),565,33,6.203008,540.389,1.724907,78.94391
Red,R1 (661),217,-27,-11.06557,422.435,2.71435,1552.825
Red,R2 (679),281,-19,-6.333333,1087.447,2.966381,2755.012
Red,R3 (697),363,-15,-3.968254,2041.837,2.937099,2159.402
Red,R4 (717),345,-6,-1.709402,1972.938,3.137218,1361.538
Red,R5 (738),350,-14,-3.846154,1631.067,3.412154,1263.408
Red,R6 (760),360,-13,-3.485255,1436.712,3.681633,807.1837
Red,R7 (783),858,-98,-10.25105,1842.057,3.941624,622.453
Red,R8 (812),435,31,7.673267,2098.172,4.109962,258.4764


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-27.35,1.037239,0
Blue,0,1.162044,0
Red,27.275,1.031792,0
FSC Area Scaling Factor,1.175816,Window Extension,2
Flow Rate,16.6
Temperature,24.62
