DailyQCReport_R0026_20251020_100322


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,428,-17,-3.820225,1925.219,1.911583,2253.438
Violet,SSC,449,56,14.24936,2011.958,3.823271,11933.23
Blue,SSC-B,138,1,0.729927,1988.013,3.17913,12335.79
Violet,V1 (428),385,30,8.450704,602.2775,2.920651,872.8463
Violet,V2 (443),402,35,9.536785,1286.291,2.382594,2090.299
Violet,V3 (458),497,40,8.752735,1382.67,1.945702,2980.091
Violet,V4 (473),302,24,8.633094,1241.858,1.773712,3924.533
Violet,V5 (508),391,32,8.913649,1064.915,1.478755,3919.362
Violet,V6 (525),343,29,9.235669,770.738,1.474066,2635.638
Violet,V7 (542),459,43,10.33654,896.4755,1.379933,2907.632
Violet,V8 (581),798,71,9.766162,768.4025,1.4731,1742.194
Violet,V9 (598),663,49,7.980456,780.476,1.246052,1273.219
Violet,V10 (615),514,37,7.756814,1182.209,1.280511,1207.967
Violet,V11 (664),405,39,10.65574,517.034,1.555633,516.5715
Violet,V12 (692),350,29,9.034267,460.2615,1.691555,265.2769
Violet,V13 (720),357,25,7.530121,524.9535,1.752854,165.608
Violet,V14 (750),559,41,7.915058,469.291,1.929492,145.0251
Violet,V15 (780),650,45,7.438017,497.8115,2.148954,83.91057
Violet,V16 (812),557,-50,-8.237232,574.7165,2.728676,35.24907
Blue,B1 (508),656,6,0.9230769,144.61,2.336865,412.6786
Blue,B2 (525),386,5,1.312336,179.663,1.998721,406.8502
Blue,B3 (542),399,7,1.785714,542.7495,1.98354,1148.361
Blue,B4 (581),388,4,1.041667,743.6995,1.847075,1348.388
Blue,B5 (598),325,3,0.931677,881.9,2.148228,1420.804
Blue,B6 (615),235,-1,-0.4237288,933.2595,2.192566,1224.373
Blue,B7 (661),432,15,3.597122,577.7915,2.024666,699.2465
Blue,B8 (679),371,9,2.486188,486.949,2.23006,497.119
Blue,B9 (697),489,8,1.663202,605.424,2.207492,493.4051
Blue,B10 (717),373,7,1.912568,428.915,2.095955,243.088
Blue,B11 (738),283,0,0,276.8445,2.041772,142.7316
Blue,B12 (760),398,-4,-0.9950249,276.1795,1.858609,124.7085
Blue,B13 (783),474,-6,-1.25,257.489,1.854744,85.39794
Blue,B14 (812),550,-83,-13.11217,554.812,1.846027,78.57629
Red,R1 (661),235,34,16.91542,418.3175,1.670981,1497.688
Red,R2 (679),293,22,8.118081,1091.925,1.898739,2998.379
Red,R3 (697),374,13,3.601108,2060.073,1.595081,2078.651
Red,R4 (717),352,8,2.325581,1991.446,1.665025,1410.103
Red,R5 (738),355,-1,-0.2808989,1648.62,1.817184,1180.148
Red,R6 (760),371,-1,-0.2688172,1454.344,1.962323,883.5363
Red,R7 (783),823,-237,-22.35849,1935.914,2.171668,687.3781
Red,R8 (812),415,-79,-15.9919,2140.092,2.588565,279.7576


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-28,1.03518,0
Blue,0,1.111103,0
Red,27.525,0.9907197,0
FSC Area Scaling Factor,1.124931,Window Extension,2
Flow Rate,16.49
Temperature,22
