DailyQCReport_R0026_20250218_100125


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,445,21,4.95283,2099.1,2.472158,1842.51
Violet,SSC,371,-18,-4.627249,2014.036,4.493518,13408.45
Blue,SSC-B,124,-9,-6.766918,2012.603,4.483559,12074.36
Violet,V1 (428),339,-10,-2.86533,606.4535,2.373252,895.6778
Violet,V2 (443),351,-10,-2.770083,1273.766,1.880499,2270.819
Violet,V3 (458),438,-16,-3.524229,1370.431,1.874795,3004.145
Violet,V4 (473),269,-2,-0.7380074,1239.588,1.916811,3748.541
Violet,V5 (508),346,-8,-2.259887,1066.625,1.788358,3549.413
Violet,V6 (525),305,-4,-1.294498,770.2865,1.797582,2580.729
Violet,V7 (542),408,-11,-2.625298,902.6695,1.750795,2945.826
Violet,V8 (581),712,-28,-3.783784,766.039,1.856125,1683.695
Violet,V9 (598),577,-22,-3.672788,776.9685,1.676116,1203.966
Violet,V10 (615),450,-12,-2.597403,1169.515,1.741322,1056.64
Violet,V11 (664),372,-12,-3.125,519.6275,1.829859,484.74
Violet,V12 (692),322,-12,-3.592814,460.1495,1.811086,261.986
Violet,V13 (720),325,-17,-4.97076,522.4685,1.76822,170.9013
Violet,V14 (750),518,-18,-3.358209,467.65,1.90425,135.0752
Violet,V15 (780),588,-26,-4.234528,500.99,2.055712,86.59811
Violet,V16 (812),473,-35,-6.889763,577.367,2.917376,33.54286
Blue,B1 (508),618,-26,-4.037267,144.9305,2.097313,362.7253
Blue,B2 (525),362,-13,-3.466666,179.831,1.670353,419.6639
Blue,B3 (542),377,-16,-4.071247,545.9745,1.716691,1106.113
Blue,B4 (581),365,-12,-3.183024,745.506,1.631686,1355.011
Blue,B5 (598),301,-16,-5.047319,877.1675,1.979109,1335.31
Blue,B6 (615),219,-10,-4.366812,936.4755,2.007519,1264.08
Blue,B7 (661),405,-18,-4.255319,574.0785,1.783682,697.7231
Blue,B8 (679),352,-17,-4.607046,488.843,1.980457,484.8971
Blue,B9 (697),464,-29,-5.882353,601.7545,1.878594,427.9626
Blue,B10 (717),348,-21,-5.691057,419.4445,1.905683,230.828
Blue,B11 (738),272,-14,-4.895105,278.891,1.924542,138.3352
Blue,B12 (760),384,-18,-4.477612,277.109,1.726305,120.4934
Blue,B13 (783),452,-19,-4.03397,256.2425,1.867231,82.85181
Blue,B14 (812),496,-36,-6.766918,553.6085,2.045322,76.42519
Red,R1 (661),260,16,6.557377,419.1875,2.546964,1480.849
Red,R2 (679),307,7,2.333333,1098.198,2.623048,2890.956
Red,R3 (697),374,-4,-1.058201,2053.037,2.431036,2059.663
Red,R4 (717),351,0,0,2003.964,2.641587,1389.467
Red,R5 (738),356,-8,-2.197802,1651.788,2.938803,1126.097
Red,R6 (760),364,-9,-2.412869,1451.234,3.155354,714.1245
Red,R7 (783),788,-168,-17.57322,1913.099,3.500265,613.3113
Red,R8 (812),386,-18,-4.455446,2127.153,3.929345,254.6158


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-27.375,1.037575,0
Blue,0,1.196658,0
Red,27.3,0.9867206,0
FSC Area Scaling Factor,1.213701,Window Extension,2
Flow Rate,17.44
Temperature,22.88
