DailyQCReport_R0026_20240925_155614


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,30,5.444646,1997.447,0.8374923,1599.056
Violet,SSC,442,28,6.763285,1997.884,2.903044,9541.121
Blue,SSC-B,189,10,5.586592,2001.987,2.252077,12238.77
Violet,V1 (428),472,18,3.964757,465.687,1.614975,878.2454
Violet,V2 (443),477,13,2.801724,1066.925,1.569548,1990.522
Violet,V3 (458),568,9,1.610018,1226.816,1.649192,2762.742
Violet,V4 (473),350,4,1.156069,1200.004,1.722823,3296.06
Violet,V5 (508),478,3,0.631579,1131.243,1.680147,3486.92
Violet,V6 (525),406,1,0.2469136,832.2955,1.731882,2256.672
Violet,V7 (542),532,0,0,964.621,1.694564,2447.564
Violet,V8 (581),863,-4,-0.461361,1012.923,1.69377,1363.369
Violet,V9 (598),769,-1,-0.1298701,1234.747,1.53424,1180.391
Violet,V10 (615),561,0,0,2110.102,1.647469,1104.749
Violet,V11 (664),455,-2,-0.4376368,1006.687,1.583164,489.7451
Violet,V12 (692),430,-1,-0.2320186,500.47,1.606335,242.2375
Violet,V13 (720),459,9,2,498.6615,1.60633,171.1434
Violet,V14 (750),746,22,3.038674,1243.349,1.711317,128.0222
Violet,V15 (780),807,27,3.461539,1795.651,1.999575,80.80013
Violet,V16 (812),602,43,7.692308,1367.896,2.63234,33.08847
Blue,B1 (508),769,22,2.945114,142.0825,1.391168,373.9263
Blue,B2 (525),432,13,3.102625,133.383,1.140705,446.6479
Blue,B3 (542),459,8,1.773836,278.916,0.9794543,1194.875
Blue,B4 (581),454,9,2.022472,485.2025,0.9897757,1361.505
Blue,B5 (598),386,8,2.116402,698.6775,1.038773,1335.73
Blue,B6 (615),285,8,2.888087,883.162,1.145381,1218.564
Blue,B7 (661),527,15,2.929688,623.0525,1.046063,687.6763
Blue,B8 (679),466,15,3.325943,469.4245,1.112888,498.7229
Blue,B9 (697),619,21,3.511706,397.5595,1.134444,451.5209
Blue,B10 (717),484,28,6.140351,255.857,1.262216,219.0026
Blue,B11 (738),355,24,7.250755,344.4325,1.18913,160.1996
Blue,B12 (760),509,29,6.041667,584.9725,1.071703,128.1869
Blue,B13 (783),619,58,10.33868,621.384,1.636653,86.63165
Blue,B14 (812),687,72,11.70732,1007.817,1.962051,79.54144
Red,R1 (661),325,-2,-0.6116208,385.172,2.159482,1457.281
Red,R2 (679),404,-8,-1.941748,522.402,2.279259,2806.14
Red,R3 (697),497,-7,-1.388889,412.6435,2.513013,2121.582
Red,R4 (717),483,12,2.547771,359.07,2.742891,1333.699
Red,R5 (738),500,19,3.950104,656.7065,2.867855,1117.026
Red,R6 (760),579,37,6.826569,951.0595,3.023243,758.544
Red,R7 (783),1486,73,5.166313,1304.482,3.621956,561.4601
Red,R8 (812),599,57,10.51661,935.437,3.491432,225.9099


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-26.825,1.072627,0
Blue,0,1.135793,0
Red,27.4,1.03482,0
FSC Area Scaling Factor,1.135858,Window Extension,2
Flow Rate,16.71
Temperature,25.25
