DailyQCReport_R0026_20250130_105648


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,445,21,4.95283,2022.237,2.033158,1443.297
Violet,SSC,361,-28,-7.197943,1989.631,5.140405,10056.53
Blue,SSC-B,129,-4,-3.007519,1998.656,3.85718,12693.28
Violet,V1 (428),340,-9,-2.578797,603.719,1.815593,948.0804
Violet,V2 (443),353,-8,-2.216066,1280.223,1.454242,2138.763
Violet,V3 (458),442,-12,-2.643172,1376.914,1.560326,2952.117
Violet,V4 (473),270,-1,-0.3690037,1233.402,1.622832,3821.838
Violet,V5 (508),346,-8,-2.259887,1062.529,1.553828,3418.749
Violet,V6 (525),304,-5,-1.618123,759.303,1.632037,2430.632
Violet,V7 (542),406,-13,-3.102625,891.312,1.625042,2617.859
Violet,V8 (581),717,-23,-3.108108,764.635,1.889662,1478.293
Violet,V9 (598),588,-11,-1.836394,771.85,1.678109,1243.371
Violet,V10 (615),460,-2,-0.4329004,1164.604,1.775899,1092.476
Violet,V11 (664),358,-26,-6.770833,517.847,1.858467,512.7363
Violet,V12 (692),319,-15,-4.491018,460.528,1.766566,248.6577
Violet,V13 (720),325,-17,-4.97076,523.534,1.617018,172.6229
Violet,V14 (750),511,-25,-4.664179,465.962,1.662842,126.9907
Violet,V15 (780),591,-23,-3.745928,498.423,1.764934,82.10117
Violet,V16 (812),569,61,12.00787,580.263,2.652248,35.45107
Blue,B1 (508),626,-18,-2.795031,144.684,2.004595,405.1519
Blue,B2 (525),367,-8,-2.133333,178.667,1.50719,406.6123
Blue,B3 (542),388,-5,-1.272265,547.807,1.546963,1094.058
Blue,B4 (581),373,-4,-1.061008,746.418,1.445079,1364.003
Blue,B5 (598),316,-1,-0.3154574,875.529,1.768287,1389.039
Blue,B6 (615),230,1,0.4366812,941.21,1.761179,1282.44
Blue,B7 (661),413,-10,-2.364066,581.92,1.57918,717.7749
Blue,B8 (679),355,-14,-3.794038,489.982,1.841037,495.6438
Blue,B9 (697),477,-16,-3.245436,605.496,1.741893,452.4682
Blue,B10 (717),358,-11,-2.98103,419.055,1.733404,213.5534
Blue,B11 (738),278,-8,-2.797203,279.138,1.756284,143.7581
Blue,B12 (760),394,-8,-1.99005,277.966,1.626667,116.3782
Blue,B13 (783),473,2,0.4246285,256.711,1.705986,79.23462
Blue,B14 (812),600,68,12.78196,550.765,1.867216,79.89199
Red,R1 (661),207,-37,-15.16393,413.888,2.915232,1506.661
Red,R2 (679),275,-25,-8.333334,1112.487,3.22384,2993.678
Red,R3 (697),359,-19,-5.026455,2048.737,3.160314,2348.145
Red,R4 (717),344,-7,-1.994302,1989.23,3.395681,1365.74
Red,R5 (738),349,-15,-4.120879,1654.986,3.651783,1199.577
Red,R6 (760),357,-16,-4.289545,1445.461,3.957261,795.2349
Red,R7 (783),870,-86,-8.995816,1916.099,4.248128,614.412
Red,R8 (812),463,59,14.60396,2116.444,4.472359,273.0295


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-27.3,1.03665,0
Blue,0,1.165348,0
Red,27.2,1.026101,0
FSC Area Scaling Factor,1.178075,Window Extension,2
Flow Rate,15.93
Temperature,25.25
