DailyQCReport_R0026_20260120_063148


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,408,-20,-4.672897,2032.962,3.01226,1021.234
Violet,SSC,427,-4,-0.9280742,2006.129,5.749936,12652.12
Blue,SSC-B,120,-17,-12.40876,2046.716,5.104094,12675.12
Violet,V1 (428),380,-2,-0.5235602,599.63,2.434917,903.1351
Violet,V2 (443),397,1,0.2525252,1282.832,2.29077,1919.35
Violet,V3 (458),500,3,0.6036217,1392.844,2.44307,3205.398
Violet,V4 (473),301,1,0.3333333,1247.394,2.590133,3881.083
Violet,V5 (508),387,-3,-0.7692308,1069.632,2.587772,3829.066
Violet,V6 (525),343,4,1.179941,772.376,2.680829,2656.706
Violet,V7 (542),458,0,0,894.72,2.717808,2899.105
Violet,V8 (581),805,6,0.7509387,772.208,3.058392,1689.024
Violet,V9 (598),638,-9,-1.391036,780.821,2.911939,1250.8
Violet,V10 (615),500,-4,-0.7936509,1197.457,3.015041,1130.41
Violet,V11 (664),386,-17,-4.218362,518.913,3.271069,481.2829
Violet,V12 (692),329,-17,-4.913295,459.897,3.209517,277.9566
Violet,V13 (720),341,-12,-3.399434,528.171,2.847651,180.5692
Violet,V14 (750),535,-15,-2.727273,464.854,2.881593,129.8159
Violet,V15 (780),621,-20,-3.120125,503.152,2.686079,82.87877
Violet,V16 (812),566,27,5.009276,597.867,3.252367,35.37806
Blue,B1 (508),597,-53,-8.153846,143.229,2.187581,383.1827
Blue,B2 (525),351,-28,-7.387863,178.389,1.755238,421.5908
Blue,B3 (542),363,-31,-7.86802,549.648,1.801224,1063.501
Blue,B4 (581),349,-35,-9.114584,748.684,1.673714,1330.206
Blue,B5 (598),289,-32,-9.968847,887.369,2.002326,1322.886
Blue,B6 (615),210,-23,-9.871244,939.167,2.019118,1198.621
Blue,B7 (661),379,-48,-11.24122,576.376,1.787017,666.5177
Blue,B8 (679),318,-47,-12.87671,484.347,1.9915,475.2621
Blue,B9 (697),424,-64,-13.11475,602.701,1.938093,420.6646
Blue,B10 (717),322,-44,-12.02186,422.407,2.01873,197.4378
Blue,B11 (738),251,-29,-10.35714,280.182,2.106089,140.1759
Blue,B12 (760),351,-42,-10.68702,278.323,1.902365,113.1103
Blue,B13 (783),421,-46,-9.850107,258.089,2.264868,76.81395
Blue,B14 (812),514,-21,-3.925234,571.09,3.901588,72.63046
Red,R1 (661),260,22,9.243698,420.779,2.528915,1642.879
Red,R2 (679),299,4,1.355932,1107.759,2.572366,3235.842
Red,R3 (697),395,25,6.756756,2096.116,2.088548,2619.351
Red,R4 (717),377,26,7.407407,2020.612,1.948967,1506.161
Red,R5 (738),379,28,7.977208,1679.068,1.984446,1422.001
Red,R6 (760),386,21,5.753425,1474.143,2.129214,970.6685
Red,R7 (783),777,-34,-4.192355,1965.8,2.486334,701.9386
Red,R8 (812),478,74,18.31683,2235.624,4.139883,288.8418


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-27.6,1.028809,0
Blue,0,1.21256,0
Red,27.3,0.9103257,0
FSC Area Scaling Factor,1.231051,Window Extension,2
Flow Rate,22.98
Temperature,19.12
