DailyQCReport_R0026_20240926_141413


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,508,-73,-12.56454,1989.766,0.8935207,2151.397
Violet,SSC,531,98,22.63279,2016.815,2.489938,9194.443
Blue,SSC-B,152,-24,-13.63636,1972.262,4.197241,12609.08
Violet,V1 (428),379,-93,-19.70339,467.514,2.26348,851.4394
Violet,V2 (443),419,-64,-13.25052,1079.78,2.199466,1874.231
Violet,V3 (458),551,-24,-4.173913,1234.625,2.225206,2315.727
Violet,V4 (473),349,-6,-1.690141,1194.289,2.315842,3282.373
Violet,V5 (508),479,-8,-1.642711,1131.615,2.228835,3053.612
Violet,V6 (525),411,-2,-0.4842615,832.3425,2.286129,2075.619
Violet,V7 (542),550,12,2.230483,950.287,2.255113,2311.929
Violet,V8 (581),925,41,4.638009,1033.47,2.361817,1363.182
Violet,V9 (598),747,-28,-3.612903,1226.235,2.199516,1069.688
Violet,V10 (615),568,0,0,2138.98,2.320937,909.0225
Violet,V11 (664),487,15,3.177966,1023.755,2.2533,434.5209
Violet,V12 (692),449,1,0.2232143,509.157,2.298888,221.4942
Violet,V13 (720),457,-13,-2.765957,503.694,2.238159,145.1315
Violet,V14 (750),721,-36,-4.755614,1261.163,2.200744,116.0318
Violet,V15 (780),778,-28,-3.473945,1806.156,2.355411,71.62038
Violet,V16 (812),595,23,4.020979,1374.207,2.580514,28.83587
Blue,B1 (508),669,-90,-11.85771,145.391,1.460754,405.8793
Blue,B2 (525),370,-54,-12.73585,133.8505,1.260581,400.4577
Blue,B3 (542),396,-53,-11.80401,280.19,1.112537,1181.533
Blue,B4 (581),389,-55,-12.38739,488.3285,1.177066,1406.775
Blue,B5 (598),325,-48,-12.86863,694.7405,1.336511,1407.826
Blue,B6 (615),240,-33,-12.08791,890.983,1.452,1246.234
Blue,B7 (661),453,-59,-11.52344,637.004,1.286156,706.05
Blue,B8 (679),390,-58,-12.94643,461.2585,1.197177,483.2289
Blue,B9 (697),523,-74,-12.39531,394.048,1.21816,433.2465
Blue,B10 (717),405,-54,-11.76471,251.3325,1.07758,237.634
Blue,B11 (738),293,-39,-11.74699,346.5745,0.9524843,145.2296
Blue,B12 (760),425,-54,-11.27349,591.1615,0.9489707,124.4438
Blue,B13 (783),490,-74,-13.12057,614.2935,1.251726,84.58133
Blue,B14 (812),539,-72,-11.78396,1024.452,1.507378,82.64999
Red,R1 (661),285,-74,-20.61281,384.7205,1.499959,1400.747
Red,R2 (679),352,-93,-20.89888,526.617,1.404476,2938.185
Red,R3 (697),432,-115,-21.02377,421.359,1.660426,2210.621
Red,R4 (717),399,-104,-20.67594,356.706,1.867919,1339.937
Red,R5 (738),396,-118,-22.9572,661.9295,2.075175,1182.257
Red,R6 (760),446,-134,-23.10345,958.2335,2.363344,785.2109
Red,R7 (783),1127,-427,-27.47748,1333.703,2.774235,578.1321
Red,R8 (812),442,-134,-23.26389,949.175,2.999361,261.3791


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-27.175,1.230107,0
Blue,0,1.148965,0
Red,27.425,1.025352,0
FSC Area Scaling Factor,1.147673,Window Extension,2
Flow Rate,15.32
Temperature,24.38
