DailyQCReport_R0026_20240821_085754


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,30,5.444646,2071.724,0.8016881,1488.641
Violet,SSC,408,-6,-1.449275,2003.885,1.698347,12455.58
Blue,SSC-B,181,2,1.117318,2004.925,4.071016,12870.72
Violet,V1 (428),448,-6,-1.321586,466.089,1.921052,902.1998
Violet,V2 (443),455,-9,-1.939655,1074.264,1.918943,1921.306
Violet,V3 (458),553,-6,-1.073345,1231.289,1.968851,2921.354
Violet,V4 (473),341,-5,-1.445087,1194.538,2.096337,3608.795
Violet,V5 (508),467,-8,-1.68421,1139.85,2.026813,3733.912
Violet,V6 (525),397,-8,-1.975309,827.584,2.071532,2561.285
Violet,V7 (542),521,-11,-2.067669,954.961,2.035386,2660.135
Violet,V8 (581),837,-30,-3.460207,1017.877,2.038706,1646.575
Violet,V9 (598),728,-42,-5.454545,1223.819,1.854515,1275.22
Violet,V10 (615),536,-25,-4.456328,2111.442,1.973151,1068.784
Violet,V11 (664),449,-8,-1.750547,999.735,1.897871,496.4299
Violet,V12 (692),427,-4,-0.9280742,505.399,1.935259,249.9497
Violet,V13 (720),447,-3,-0.6666667,501.018,1.953413,160.7394
Violet,V14 (750),709,-15,-2.071823,1244.227,1.935206,131.7412
Violet,V15 (780),766,-14,-1.794872,1816.658,2.187422,86.25824
Violet,V16 (812),545,-14,-2.504472,1367.146,2.701651,34.29129
Blue,B1 (508),753,6,0.8032128,142.349,2.322471,406.9317
Blue,B2 (525),422,3,0.7159905,132.648,2.281625,401.5236
Blue,B3 (542),447,-4,-0.8869179,275.192,2.295674,1118.24
Blue,B4 (581),440,-5,-1.123595,486.605,2.233049,1306.919
Blue,B5 (598),369,-9,-2.380952,692.247,2.602151,1317.604
Blue,B6 (615),271,-6,-2.166065,882.009,2.733602,1310.191
Blue,B7 (661),507,-5,-0.9765625,621.071,2.40404,681.772
Blue,B8 (679),453,2,0.443459,468.222,2.484468,477.4306
Blue,B9 (697),598,0,0,391.702,2.458853,444.5868
Blue,B10 (717),465,9,1.973684,253.493,2.158311,216.35
Blue,B11 (738),333,2,0.6042296,344.262,2.218816,149.0019
Blue,B12 (760),480,0,0,588.414,2.077511,120.0065
Blue,B13 (783),562,1,0.1782531,617.819,2.233303,80.01931
Blue,B14 (812),608,-7,-1.138211,1006.966,2.136317,79.6695
Red,R1 (661),357,30,9.174312,381.577,1.844653,1456.147
Red,R2 (679),430,18,4.368932,522.409,1.759121,2741.305
Red,R3 (697),534,30,5.952381,416.375,1.942869,2118.56
Red,R4 (717),483,12,2.547771,355.901,2.084059,1367.926
Red,R5 (738),479,-2,-0.4158004,654.508,2.248919,1216.79
Red,R6 (760),533,-9,-1.660517,939.002,2.616259,745.8745
Red,R7 (783),1137,-276,-19.53291,1322.199,3.293187,587.8457
Red,R8 (812),528,-14,-2.583026,939.245,3.358774,248.497


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-26.925,1.059656,0
Blue,0,1.165131,0
Red,27.35,0.9917752,0
FSC Area Scaling Factor,1.174354,Window Extension,2
Flow Rate,24.57
Temperature,23.12
