DailyQCReport_R0026_20260219_093047


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,408,-20,-4.672897,1976.366,2.826641,2174.495
Violet,SSC,424,-7,-1.62413,1991.178,4.624069,12930.25
Blue,SSC-B,121,-16,-11.67883,2001.098,4.361099,12608.89
Violet,V1 (428),379,-3,-0.7853402,599.803,2.262841,869.7559
Violet,V2 (443),396,0,0,1270.769,1.898864,2284.557
Violet,V3 (458),491,-6,-1.207243,1372.168,1.976569,2953.303
Violet,V4 (473),300,0,0,1230.739,2.021656,3616.297
Violet,V5 (508),386,-4,-1.025641,1067.404,1.932329,3634.486
Violet,V6 (525),339,0,0,761.2695,1.972799,2709.237
Violet,V7 (542),461,3,0.6550218,903.5795,1.955497,2935.12
Violet,V8 (581),809,10,1.251565,767.134,2.140392,1752.584
Violet,V9 (598),638,-9,-1.391036,772.4495,1.947388,1197.25
Violet,V10 (615),497,-7,-1.388889,1159.547,2.006501,1128.441
Violet,V11 (664),395,-8,-1.985112,521.078,2.118377,507.9634
Violet,V12 (692),338,-8,-2.312139,459.1395,2.166937,258.1299
Violet,V13 (720),344,-9,-2.549575,522.086,2.044303,167.005
Violet,V14 (750),546,-4,-0.7272727,465.4035,2.145867,138.8174
Violet,V15 (780),626,-15,-2.340094,497.121,2.149947,86.06338
Violet,V16 (812),545,6,1.113173,571.423,2.811335,33.45266
Blue,B1 (508),614,-36,-5.538461,144.539,2.123969,375.4167
Blue,B2 (525),361,-18,-4.74934,180.0235,1.667545,420.2208
Blue,B3 (542),372,-22,-5.583756,545.712,1.650614,1152.554
Blue,B4 (581),357,-27,-7.03125,738.992,1.483615,1348.23
Blue,B5 (598),295,-26,-8.099689,873.856,1.745782,1317.393
Blue,B6 (615),214,-19,-8.154507,929.6505,1.728625,1193.962
Blue,B7 (661),392,-35,-8.196721,575.2385,1.615801,644.458
Blue,B8 (679),330,-35,-9.589041,485.423,1.882659,490.3221
Blue,B9 (697),440,-48,-9.836065,602.8325,1.781884,446.5619
Blue,B10 (717),332,-34,-9.289618,416.2985,1.897514,216.3553
Blue,B11 (738),258,-22,-7.857143,277.9915,1.957995,137.0955
Blue,B12 (760),361,-32,-8.142493,275.616,1.829623,113.4534
Blue,B13 (783),431,-36,-7.70878,255.109,2.021106,81.34283
Blue,B14 (812),504,-31,-5.794393,550.6265,2.177089,70.14579
Red,R1 (661),254,16,6.72269,420.0545,1.80943,1509.172
Red,R2 (679),297,2,0.6779661,1098.788,1.963786,2930.11
Red,R3 (697),383,13,3.513514,2074.531,1.617239,2287.884
Red,R4 (717),365,14,3.988604,1983.543,1.644489,1416.707
Red,R5 (738),367,16,4.558404,1648.998,1.744756,1236.99
Red,R6 (760),374,9,2.465754,1455.963,1.909044,859.5378
Red,R7 (783),769,-42,-5.178792,1918.222,2.144871,736.704
Red,R8 (812),437,33,8.168317,2136.586,2.610066,283.9513


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-27.375,1.042535,0
Blue,0,1.18747,0
Red,27.25,0.9618534,0
FSC Area Scaling Factor,1.205204,Window Extension,2
Flow Rate,18.27
Temperature,21.25
