DailyQCReport_R0026_20240905_105457


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,30,5.444646,2026.341,0.8712804,1898.243
Violet,SSC,411,-3,-0.7246377,2001.591,1.844567,8414.227
Blue,SSC-B,183,4,2.234637,2005.492,3.491316,11020.46
Violet,V1 (428),449,-5,-1.101322,462.454,2.08057,898.0683
Violet,V2 (443),456,-8,-1.724138,1066.319,2.086857,1870.698
Violet,V3 (458),550,-9,-1.610018,1223.971,2.182225,2709.25
Violet,V4 (473),345,-1,-0.2890173,1202.942,2.295252,3216.177
Violet,V5 (508),469,-6,-1.263158,1140.023,2.27047,3033.503
Violet,V6 (525),399,-6,-1.481481,838.729,2.294558,2137.365
Violet,V7 (542),516,-16,-3.007519,944.719,2.258633,2161.501
Violet,V8 (581),843,-24,-2.768166,1023.948,2.126072,1218.634
Violet,V9 (598),739,-31,-4.025974,1232.921,1.941852,1209.193
Violet,V10 (615),551,-10,-1.782531,2151.086,1.967437,1092.22
Violet,V11 (664),434,-23,-5.032823,1014.046,1.948763,499.2289
Violet,V12 (692),410,-21,-4.87239,509.134,2.050944,243.4493
Violet,V13 (720),437,-13,-2.888889,498.146,1.854332,174.3222
Violet,V14 (750),722,-2,-0.2762431,1247.666,2.373284,131.4669
Violet,V15 (780),799,19,2.435898,1818.335,2.81934,79.39319
Violet,V16 (812),602,43,7.692308,1378.477,4.033171,33.67682
Blue,B1 (508),764,17,2.27577,144.903,1.83049,411.7733
Blue,B2 (525),425,6,1.431981,134.381,1.69751,426.7423
Blue,B3 (542),444,-7,-1.552106,278.084,1.796492,1117.144
Blue,B4 (581),442,-3,-0.6741573,490.318,1.768285,1349.459
Blue,B5 (598),377,-1,-0.2645503,704.941,1.983287,1306.511
Blue,B6 (615),276,-1,-0.3610108,890.49,2.07419,1272.717
Blue,B7 (661),496,-16,-3.125,619.832,1.865372,677.936
Blue,B8 (679),438,-13,-2.882483,471.474,1.992945,516.4609
Blue,B9 (697),582,-16,-2.675585,399.414,1.968707,470.6736
Blue,B10 (717),452,-4,-0.877193,256.284,1.569448,233.1436
Blue,B11 (738),336,5,1.510574,343.918,1.564886,148.4869
Blue,B12 (760),492,12,2.5,589.677,1.745276,123.9481
Blue,B13 (783),587,26,4.634581,616.77,2.247419,82.4633
Blue,B14 (812),672,57,9.268292,1011.972,3.156109,78.23816
Red,R1 (661),319,-8,-2.446483,384.09,3.90838,1437.094
Red,R2 (679),393,-19,-4.61165,526.392,4.048641,2848.631
Red,R3 (697),483,-21,-4.166667,422.265,4.037725,2146.831
Red,R4 (717),471,0,0,356.552,4.133554,1337.388
Red,R5 (738),498,17,3.534304,650.933,4.111522,1097.999
Red,R6 (760),576,34,6.273063,937.98,4.559128,729.0884
Red,R7 (783),1605,192,13.58811,1289.998,5.245979,549.4136
Red,R8 (812),613,71,13.09963,921.059,5.786857,225.9476


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-26.875,1.070774,0
Blue,0,1.142961,0
Red,27.45,1.024729,0
FSC Area Scaling Factor,1.148984,Window Extension,2
Flow Rate,26.66
Temperature,25.38
