DailyQCReport_R0026_20240916_084721


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,30,5.444646,2019.884,0.869521,1545.924
Violet,SSC,427,13,3.140097,2001.276,1.690368,13389.59
Blue,SSC-B,183,4,2.234637,1999.063,4.552339,12655.76
Violet,V1 (428),467,13,2.863436,466.971,1.872362,932.8469
Violet,V2 (443),480,16,3.448276,1088.234,1.922919,1962.68
Violet,V3 (458),571,12,2.146691,1221.415,2.019006,2924.11
Violet,V4 (473),355,9,2.601156,1204.569,2.150867,3715.281
Violet,V5 (508),483,8,1.68421,1131.401,2.138363,3840.567
Violet,V6 (525),411,6,1.481481,829.863,2.20437,2583.214
Violet,V7 (542),542,10,1.879699,963.582,2.12819,2941.947
Violet,V8 (581),872,5,0.5767012,1024.714,2.010549,1694.229
Violet,V9 (598),765,-5,-0.6493506,1246.633,1.848223,1268.085
Violet,V10 (615),565,4,0.7130125,2127.891,1.929488,1122.569
Violet,V11 (664),466,9,1.969365,1013.05,1.772586,535.0504
Violet,V12 (692),441,10,2.320186,505.829,1.795086,254.0896
Violet,V13 (720),461,11,2.444444,499.265,1.768686,172.3516
Violet,V14 (750),742,18,2.486188,1258.301,1.731388,134.9632
Violet,V15 (780),791,11,1.410256,1815.762,1.914185,87.51648
Violet,V16 (812),565,6,1.073345,1374.559,2.448951,34.34589
Blue,B1 (508),770,23,3.078983,142.055,2.420068,377.6093
Blue,B2 (525),432,13,3.102625,133.431,2.392496,409.6068
Blue,B3 (542),458,7,1.552106,277.828,2.422479,1163.911
Blue,B4 (581),450,5,1.123595,492.03,2.36234,1390.295
Blue,B5 (598),379,1,0.2645503,697.791,2.795633,1435.106
Blue,B6 (615),276,-1,-0.3610108,885.803,2.898706,1225.471
Blue,B7 (661),516,4,0.78125,622.935,2.5267,683.2814
Blue,B8 (679),461,10,2.217295,469.76,2.544954,478.2613
Blue,B9 (697),614,16,2.675585,402.54,2.501692,471.5452
Blue,B10 (717),472,16,3.508772,254.542,2.229547,215.8273
Blue,B11 (738),337,6,1.812689,345.13,2.265092,154.8706
Blue,B12 (760),484,4,0.8333334,586.022,2.199513,116.9035
Blue,B13 (783),568,7,1.247772,621.119,2.278803,87.69794
Blue,B14 (812),618,3,0.4878049,1016.113,2.155321,81.5746
Red,R1 (661),364,37,11.31498,386.36,2.057632,1608.003
Red,R2 (679),437,25,6.067961,521.608,1.995126,2750.916
Red,R3 (697),543,39,7.738095,417.53,2.173674,2163.216
Red,R4 (717),499,28,5.944798,360.725,2.308541,1458.362
Red,R5 (738),489,8,1.663202,652.874,2.516415,1188.905
Red,R6 (760),549,7,1.291513,946.281,2.885563,824.4105
Red,R7 (783),1157,-256,-18.11748,1283.956,3.491582,560.4922
Red,R8 (812),543,1,0.1845018,939.541,3.58963,237.3081


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-26.925,1.060058,0
Blue,0,1.151638,0
Red,27.35,0.994126,0
FSC Area Scaling Factor,1.156681,Window Extension,2
Flow Rate,25.04
Temperature,23
