DailyQCReport_R0026_20240913_093514


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,30,5.444646,2008.184,0.871303,1290.908
Violet,SSC,421,7,1.690821,2014.824,1.694557,11251.14
Blue,SSC-B,184,5,2.793296,2006.643,3.93397,12424.84
Violet,V1 (428),459,5,1.101322,467.523,1.876997,891.4843
Violet,V2 (443),471,7,1.508621,1076.403,1.960935,1981.983
Violet,V3 (458),565,6,1.073345,1241.743,2.104633,2965.845
Violet,V4 (473),348,2,0.5780346,1195.417,2.251814,3448.86
Violet,V5 (508),475,0,0,1133.719,2.256793,3294.935
Violet,V6 (525),405,0,0,831.317,2.29592,2294.137
Violet,V7 (542),529,-3,-0.5639098,948.422,2.256193,2538.97
Violet,V8 (581),855,-12,-1.384083,1021.724,2.032669,1442.783
Violet,V9 (598),744,-26,-3.376623,1226.318,1.863128,1208.679
Violet,V10 (615),548,-13,-2.317291,2111.699,1.893501,1100.61
Violet,V11 (664),465,8,1.750547,1022.445,1.749487,502.5185
Violet,V12 (692),440,9,2.088167,509.288,1.751185,249.7678
Violet,V13 (720),455,5,1.111111,497.759,1.674389,169.048
Violet,V14 (750),732,8,1.104972,1248.638,1.600121,127.1418
Violet,V15 (780),783,3,0.3846154,1821.089,1.820073,86.17082
Violet,V16 (812),556,-3,-0.5366727,1369.546,2.329559,33.7572
Blue,B1 (508),776,29,3.882195,144.357,2.066569,382.6212
Blue,B2 (525),434,15,3.579952,135.075,1.938113,432.3936
Blue,B3 (542),456,5,1.108647,277.284,1.933335,1164.463
Blue,B4 (581),452,7,1.573034,491.172,1.842626,1333.661
Blue,B5 (598),378,0,0,699.367,2.24398,1346.718
Blue,B6 (615),276,-1,-0.3610108,885.429,2.385925,1281.023
Blue,B7 (661),522,10,1.953125,627.293,2.013795,673.7736
Blue,B8 (679),463,12,2.660754,466.017,2.050636,489.4714
Blue,B9 (697),612,14,2.341137,390.979,2.01584,475.1911
Blue,B10 (717),472,16,3.508772,252.505,1.747656,207.0432
Blue,B11 (738),338,7,2.114804,344.838,1.794114,145.0066
Blue,B12 (760),486,6,1.25,586.19,1.663828,124.3203
Blue,B13 (783),570,9,1.604278,622.993,1.805693,84.41539
Blue,B14 (812),615,0,0,1007.597,1.807494,79.88226
Red,R1 (661),380,53,16.20795,386.13,2.482465,1496.844
Red,R2 (679),454,42,10.19417,525.384,2.443511,2818.95
Red,R3 (697),563,59,11.70635,415.301,2.554461,2183.296
Red,R4 (717),514,43,9.129512,356.302,2.811141,1292.071
Red,R5 (738),506,25,5.197505,653.526,3.016689,1149.087
Red,R6 (760),568,26,4.797048,940.471,3.36817,807.9976
Red,R7 (783),1370,-43,-3.043171,1303.251,3.983957,549.5444
Red,R8 (812),558,16,2.952029,934.551,4.128829,235.3649


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-26.85,1.06585,0
Blue,0,1.144001,0
Red,27.4,1.013567,0
FSC Area Scaling Factor,1.14745,Window Extension,2
Flow Rate,24.74
Temperature,24.12
