DailyQCReport_R0026_20250908_113830


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,445,0,0,2020.849,1.7922,1995.988
Violet,SSC,450,57,14.50382,2063.181,4.104527,13566.89
Blue,SSC-B,142,5,3.649635,2057.287,3.597193,14666.2
Violet,V1 (428),390,35,9.859155,609.9455,2.544624,997.5794
Violet,V2 (443),407,40,10.89918,1286.172,2.018216,2311.637
Violet,V3 (458),507,50,10.94092,1407.296,1.74981,3123.679
Violet,V4 (473),305,27,9.712231,1258.881,1.643554,3808.03
Violet,V5 (508),393,34,9.470752,1080.217,1.459221,4149.578
Violet,V6 (525),343,29,9.235669,773.4115,1.460382,2532.001
Violet,V7 (542),461,45,10.81731,909.979,1.432923,2932.18
Violet,V8 (581),818,91,12.51719,787.9575,1.599966,1690.084
Violet,V9 (598),656,42,6.840391,791.437,1.461689,1249.64
Violet,V10 (615),508,31,6.498951,1187.467,1.516776,1063.545
Violet,V11 (664),412,46,12.56831,533.249,1.70316,525.1911
Violet,V12 (692),351,30,9.345795,464.0655,1.69554,273.2317
Violet,V13 (720),358,26,7.831326,530.466,1.684604,172.8654
Violet,V14 (750),562,44,8.494208,471.1845,1.84562,137.2268
Violet,V15 (780),654,49,8.099174,504.646,1.979095,86.42818
Violet,V16 (812),545,-62,-10.21417,578.0885,3.175283,35.46743
Blue,B1 (508),669,19,2.923077,146.721,2.495464,404.5905
Blue,B2 (525),393,12,3.149606,183.9665,2.197961,435.7717
Blue,B3 (542),407,15,3.826531,557.174,2.276797,1270.005
Blue,B4 (581),399,15,3.90625,772.5685,2.174442,1431.835
Blue,B5 (598),327,5,1.552795,895.458,2.462976,1442.654
Blue,B6 (615),237,1,0.4237288,956.5125,2.568518,1265.289
Blue,B7 (661),438,21,5.035971,585.3525,2.3203,718.3491
Blue,B8 (679),373,11,3.038674,497.1485,2.479592,478.2386
Blue,B9 (697),493,12,2.494802,614.45,2.421245,461.2579
Blue,B10 (717),372,6,1.639344,427.0635,2.322327,230.0953
Blue,B11 (738),289,6,2.120141,283.8515,2.215636,151.174
Blue,B12 (760),403,1,0.2487562,280.852,1.966728,125.3087
Blue,B13 (783),474,-6,-1.25,260.793,2.011386,80.92233
Blue,B14 (812),541,-92,-14.53397,560.332,2.482125,74.56976
Red,R1 (661),260,59,29.35323,434.3145,2.301828,1536.233
Red,R2 (679),312,41,15.12915,1134.649,2.364532,2883.257
Red,R3 (697),386,25,6.925208,2090.967,1.679261,2348.026
Red,R4 (717),362,18,5.232558,2025.262,1.692924,1406.93
Red,R5 (738),368,12,3.370786,1686.107,1.89395,1340.535
Red,R6 (760),384,12,3.225806,1485.839,2.008922,879.5056
Red,R7 (783),854,-206,-19.43396,1966.42,2.159678,619.6622
Red,R8 (812),416,-78,-15.78947,2153.121,3.057451,266.8318


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-28.05,1.029518,0
Blue,0,1.129497,0
Red,27.425,0.9747803,0
FSC Area Scaling Factor,1.140838,Window Extension,2
Flow Rate,17.09
Temperature,21.12
