DailyQCReport_U1368_20241205_173849


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,910,0,0,2063.651,2.302387,471.9785
Violet,SSC,153,0,0,2048.077,6.349955,10295.59
Blue,SSC-B,316,-26,-7.602339,1954.918,4.224116,12264.17
UV,UV1 (373),948,-4,-0.4201681,304.511,5.545915,42.38254
UV,UV2 (388),260,-7,-2.621723,2018.963,2.672397,396.4921
UV,UV3 (428),206,-5,-2.369668,1525.424,2.608676,1341.639
UV,UV4 (443),153,-2,-1.290323,1236.746,2.807729,1624.275
UV,UV5 (458),196,-2,-1.010101,1219.85,2.821291,2495.866
UV,UV6 (473),236,-4,-1.666667,1544.956,2.890103,3891.704
UV,UV7 (514),376,-4,-1.052632,1710.52,2.922687,5743.952
UV,UV8 (542),298,-4,-1.324503,1044.367,2.861736,3511.119
UV,UV9 (582),361,-4,-1.09589,1363.808,2.729251,2962.521
UV,UV10 (613),245,-3,-1.209677,1241.739,2.555757,3395.751
UV,UV11 (664),307,-6,-1.916933,589.237,2.508618,1675.267
UV,UV12 (692),282,-3,-1.052632,494.716,2.452639,997.4351
UV,UV13 (720),407,-7,-1.690821,546.337,2.490627,900.3661
UV,UV14 (750),694,-15,-2.115656,655.927,2.628779,1134.84
UV,UV15 (780),547,-13,-2.321429,606.673,2.783402,775.9325
UV,UV16 (812),699,-11,-1.549296,862.234,3.345337,526.6483
Violet,V1 (428),128,-1,-0.7751938,598.368,2.130018,1220.77
Violet,V2 (443),240,1,0.41841,1277.13,2.079528,3067.755
Violet,V3 (458),216,-2,-0.9174312,1375.167,2.058523,3544.495
Violet,V4 (473),142,0,0,1240.612,1.97972,3754.368
Violet,V5 (508),167,-1,-0.5952381,1062.522,1.919288,3872.901
Violet,V6 (525),175,-1,-0.5681818,759.799,1.967555,2662.827
Violet,V7 (542),229,-2,-0.8658009,893.499,1.873584,2852.068
Violet,V8 (581),289,-2,-0.6872852,761.163,1.862114,1430.751
Violet,V9 (598),248,-3,-1.195219,769.59,1.660633,1154.262
Violet,V10 (615),285,0,0,1162.723,1.663713,1004.04
Violet,V11 (664),230,-1,-0.4329004,520.349,1.789806,489.0803
Violet,V12 (692),183,-1,-0.5434783,458.184,1.758414,244.0576
Violet,V13 (720),171,-2,-1.156069,518.748,1.845519,157.0741
Violet,V14 (750),238,-4,-1.652892,460.327,2.063454,118.0327
Violet,V15 (780),398,-6,-1.485149,493.985,2.39636,67.98182
Violet,V16 (812),276,-5,-1.779359,567.452,2.857735,30.6556
Blue,B1 (508),1052,1,0.09514748,144.872,3.400428,455.3893
Blue,B2 (525),621,10,1.636661,180.364,3.125259,459.8257
Blue,B3 (542),603,4,0.6677796,546.753,3.003957,1267.951
Blue,B4 (581),548,8,1.481481,746.695,2.872173,1512.41
Blue,B5 (598),400,9,2.30179,885.069,2.847382,1448.432
Blue,B6 (615),381,3,0.7936509,928.386,2.975952,1185.187
Blue,B7 (661),812,-3,-0.3680982,581.706,2.760221,663.7784
Blue,B8 (679),582,7,1.217391,492.798,2.842022,549.5687
Blue,B9 (697),782,14,1.822917,612.082,2.665224,505.3418
Blue,B10 (717),686,7,1.030928,419.321,2.597458,234.6205
Blue,B11 (738),444,3,0.6802721,279.458,2.42407,149.42
Blue,B12 (760),440,3,0.6864989,278.538,2.112455,122.868
Blue,B13 (783),662,2,0.3030303,258.646,2.17081,91.14167
Blue,B14 (812),765,1,0.1308901,554.112,2.096764,83.57922
YellowGreen,YG1 (577),385,4,1.049869,916.592,1.853215,1271.11
YellowGreen,YG2 (598),370,5,1.369863,1789.532,1.941175,1293.476
YellowGreen,YG3 (615),238,2,0.8474576,2657.507,1.875391,2056.208
YellowGreen,YG4 (661),468,1,0.2141328,1526.595,1.635665,1339.422
YellowGreen,YG5 (679),369,-1,-0.2702703,1333.538,1.801643,1354.879
YellowGreen,YG6 (697),436,-2,-0.456621,1488.41,1.601772,723.6349
YellowGreen,YG7 (720),293,3,1.034483,2080.052,1.596044,771.419
YellowGreen,YG8 (750),267,0,0,1076.912,1.756845,394.5264
YellowGreen,YG9 (780),358,2,0.5617977,1030.586,1.860467,250.7705
YellowGreen,YG10 (812),351,1,0.2857143,1205.351,2.222376,113.9353
Red,R1 (661),231,-2,-0.8583691,428.48,2.999216,1156.547
Red,R2 (679),217,1,0.462963,1109.091,3.108139,1883.769
Red,R3 (697),297,0,0,2055.742,2.656259,1619.4
Red,R4 (717),285,-2,-0.6968641,1971.176,2.472332,841.7623
Red,R5 (738),227,-1,-0.4385965,1647.863,2.337463,1003.377
Red,R6 (760),210,0,0,1449.742,2.091259,728.796
Red,R7 (783),362,-1,-0.2754821,1913.968,2.13296,576.8978
Red,R8 (812),218,-1,-0.456621,2128.098,2.76081,251.4135


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.4,1.115966,51.43
Violet,-21.225,1.092327,64.565
Blue,0,1.054193,82.42751
Red,18.2,1.11962,70.6
UV,38.775,1.14509,0
FSC Area Scaling Factor,1.045681,Window Extension,3
Flow Rate,29.13
Temperature,27.62
