DailyQCReport_U1368_20240925_103002


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,952,132,16.09756,1933.814,1.339993,404.1302
Violet,SSC,174,-1,-0.5714285,1997.311,1.544714,11709.63
Blue,SSC-B,249,-51,-17,1945.667,3.541323,11402.84
UV,UV1 (373),1012,133,15.13083,109.147,5.690858,51.59995
UV,UV2 (388),264,40,17.85714,740.734,2.360325,464.8018
UV,UV3 (428),205,27,15.16854,658.063,1.829816,1552.761
UV,UV4 (443),150,19,14.50382,582.134,1.881849,1783.874
UV,UV5 (458),191,26,15.75758,639.937,1.859475,2430.311
UV,UV6 (473),231,28,13.7931,986.091,1.98208,3884.954
UV,UV7 (514),365,42,13.0031,1399.961,1.97482,6618.269
UV,UV8 (542),291,34,13.22957,843.06,1.975108,3700.98
UV,UV9 (582),353,37,11.70886,1328.315,1.913352,3228.719
UV,UV10 (613),236,24,11.32076,1557.56,2.071015,3541.5
UV,UV11 (664),301,31,11.48148,852.658,2.045845,1713.779
UV,UV12 (692),280,31,12.4498,438.398,2.051308,972.4208
UV,UV13 (720),410,48,13.25967,411.332,2.137351,926.155
UV,UV14 (750),675,71,11.75497,1389.938,2.207698,1186.959
UV,UV15 (780),541,49,9.95935,1816.303,2.425241,734.0199
UV,UV16 (812),677,45,7.120253,2086.892,2.786013,616.1874
Violet,V1 (428),125,2,1.626016,470.926,2.126983,1379.376
Violet,V2 (443),237,5,2.155172,1083.147,2.005968,3227.988
Violet,V3 (458),216,3,1.408451,1222.976,1.939959,3509.578
Violet,V4 (473),143,-2,-1.37931,1195.184,1.766336,3642.134
Violet,V5 (508),171,1,0.5882353,1128.891,1.660563,3694.322
Violet,V6 (525),180,1,0.5586592,829.707,1.684136,2818.455
Violet,V7 (542),234,1,0.4291846,948.644,1.578271,2772.892
Violet,V8 (581),298,4,1.360544,1019.238,1.458881,1384.557
Violet,V9 (598),250,-2,-0.7936509,1218.304,1.409456,1186.561
Violet,V10 (615),289,1,0.3472222,2126.71,1.502711,1003.643
Violet,V11 (664),232,2,0.8695652,1017.438,1.426746,514.1848
Violet,V12 (692),180,4,2.272727,507.801,1.53378,253.9551
Violet,V13 (720),171,1,0.5882353,498.241,1.890432,150.8317
Violet,V14 (750),238,0,0,1245.684,2.076242,117.9633
Violet,V15 (780),409,-2,-0.486618,1813.43,2.265706,81.07083
Violet,V16 (812),278,-9,-3.135889,1374.039,2.54981,32.59286
Blue,B1 (508),1053,95,9.916492,144.05,2.317253,456.4917
Blue,B2 (525),644,61,10.46312,134.136,2.054203,451.3352
Blue,B3 (542),596,58,10.78067,280.515,1.893615,1252.24
Blue,B4 (581),539,53,10.90535,487.997,1.888704,1424.627
Blue,B5 (598),389,35,9.887006,695.029,1.96457,1528.1
Blue,B6 (615),375,32,9.329447,883.143,2.084918,1252.265
Blue,B7 (661),779,56,7.745505,618.318,1.949241,648.0856
Blue,B8 (679),547,43,8.531746,466.519,1.673657,566.8815
Blue,B9 (697),754,80,11.86944,393.817,1.505176,528.1592
Blue,B10 (717),686,60,9.584664,253.813,1.374138,264.2067
Blue,B11 (738),470,39,9.048724,344.202,1.182354,150.6317
Blue,B12 (760),450,34,8.173077,584.672,0.9967099,128.685
Blue,B13 (783),653,45,7.401316,624.183,1.248901,85.21938
Blue,B14 (812),732,28,3.977273,1012.387,1.605582,85.93039
YellowGreen,YG1 (577),382,9,2.412869,594.191,1.615404,1372.676
YellowGreen,YG2 (598),379,10,2.710027,1400.551,1.617246,1282.556
YellowGreen,YG3 (615),245,7,2.941176,2185.572,1.628563,2233.423
YellowGreen,YG4 (661),472,19,4.194261,1255.103,1.502884,1509.712
YellowGreen,YG5 (679),368,11,3.081233,880.786,1.393721,1324.445
YellowGreen,YG6 (697),414,13,3.241895,584.949,1.462463,746.019
YellowGreen,YG7 (720),291,7,2.464789,693.85,1.332916,834.3928
YellowGreen,YG8 (750),264,3,1.149425,821.378,1.085671,396.2366
YellowGreen,YG9 (780),359,-1,-0.2777778,1063.365,1.352657,276.3521
YellowGreen,YG10 (812),331,-9,-2.647059,926.628,1.99251,114.6607
Red,R1 (661),214,23,12.04188,385.596,2.19649,1193.162
Red,R2 (679),200,21,11.73184,529.144,2.135127,1880.226
Red,R3 (697),280,25,9.803922,414.948,1.970387,1748.539
Red,R4 (717),279,24,9.411765,355.105,1.827828,996.4957
Red,R5 (738),228,16,7.54717,653.222,2.03023,1046.57
Red,R6 (760),212,15,7.614213,946.997,2.145493,716.897
Red,R7 (783),356,17,5.014749,1290.595,2.275047,545.2228
Red,R8 (812),209,6,2.955665,935.167,2.523721,245.9174


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.65,1.116047,51.41
Violet,-21.175,1.099577,64.565
Blue,0,1.056195,82.42751
Red,18.4,1.124274,70.452
UV,39.325,1.150927,0
FSC Area Scaling Factor,1.048144,Window Extension,3
Flow Rate,19.66
Temperature,26.75
