DailyQCReport_U1368_20230905_095802


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2005
Software,SpectroFlo 3.1.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,619,63,11.33094,1965.207,1.573461,599.2228
Violet,SSC,175,24,15.89404,2009.973,2.052804,11529.13
Blue,SSC-B,265,108,68.78981,1959.346,3.72261,13285.93
UV,UV1 (373),1005,195,24.07407,109.3755,7.353237,50.39131
UV,UV2 (388),264,50,23.36449,730.905,5.615143,427.6031
UV,UV3 (428),199,38,23.60248,645.8375,4.87709,1391.522
UV,UV4 (443),146,26,21.66667,580.9875,4.735453,1698.345
UV,UV5 (458),186,38,25.67567,633.8895,4.602224,2449.298
UV,UV6 (473),227,40,21.39037,980.7875,4.642064,4284.48
UV,UV7 (514),360,57,18.81188,1384.786,4.59554,5540.76
UV,UV8 (542),290,53,22.36287,838.5185,4.730641,3406.614
UV,UV9 (582),352,55,18.51852,1331.861,4.744081,3316.153
UV,UV10 (613),233,28,13.65854,1544.064,4.876566,3400.833
UV,UV11 (664),308,37,13.65314,854.714,4.941291,1731.232
UV,UV12 (692),284,36,14.51613,434.919,5.053984,955.6862
UV,UV13 (720),417,60,16.80672,408.558,5.273377,883.7603
UV,UV14 (750),687,88,14.69115,1364.313,5.290049,1145.035
UV,UV15 (780),545,67,14.01674,1773.672,5.425491,731.0102
UV,UV16 (812),666,90,15.625,2026.158,5.596524,522.2302
Violet,V1 (428),131,15,12.93103,463.631,1.522377,1213.084
Violet,V2 (443),249,29,13.18182,1068.423,1.528852,3036.545
Violet,V3 (458),228,27,13.43284,1216.189,1.574804,3231.358
Violet,V4 (473),154,18,13.23529,1193.522,1.550641,3712.841
Violet,V5 (508),181,22,13.83648,1122.964,1.544354,3546.58
Violet,V6 (525),191,23,13.69048,826.087,1.580131,2732.143
Violet,V7 (542),248,27,12.21719,951.7965,1.543773,2593.8
Violet,V8 (581),311,34,12.27437,1021.713,1.517415,1473.873
Violet,V9 (598),262,25,10.54852,1209.926,1.526977,1153.672
Violet,V10 (615),294,25,9.29368,2078.601,1.600168,1011.892
Violet,V11 (664),246,23,10.3139,1007.672,1.374375,455.3131
Violet,V12 (692),192,16,9.090909,506.5,1.243053,258.2298
Violet,V13 (720),184,17,10.17964,498.654,1.255217,163.74
Violet,V14 (750),255,23,9.913794,1241.683,1.362294,112.9315
Violet,V15 (780),434,45,11.56812,1799.944,1.673694,72.53889
Violet,V16 (812),285,26,10.03861,1345.442,2.066701,29.60364
Blue,B1 (508),886,128,16.88654,144.994,2.427228,444.9977
Blue,B2 (525),536,67,14.28572,134.871,2.301435,449.192
Blue,B3 (542),505,71,16.35945,281.0015,2.220361,1249.373
Blue,B4 (581),449,65,16.92708,492.666,2.088059,1540.343
Blue,B5 (598),321,37,13.02817,692.7565,2.023243,1520.461
Blue,B6 (615),305,35,12.96296,868.779,2.085747,1250.565
Blue,B7 (661),650,77,13.43805,623.247,1.934326,672.4016
Blue,B8 (679),464,54,13.17073,466.5955,1.634057,569.8948
Blue,B9 (697),627,85,15.68266,402.7325,1.445078,508.9944
Blue,B10 (717),577,75,14.94024,258.189,1.232966,261.4107
Blue,B11 (738),395,49,14.16185,344.7645,1.116428,147.3761
Blue,B12 (760),375,44,13.29305,583.8745,0.9825475,129.5904
Blue,B13 (783),538,74,15.94828,614.5815,1.229404,85.31183
Blue,B14 (812),588,76,14.84375,992.9145,1.692444,79.94807
YellowGreen,YG1 (577),397,-1,-0.2512563,586.273,2.216279,1408.811
YellowGreen,YG2 (598),375,-6,-1.574803,1359.326,2.212538,1253.686
YellowGreen,YG3 (615),248,-2,-0.8,2136.799,2.223313,2135.188
YellowGreen,YG4 (661),488,6,1.244813,1252.049,2.241002,1424.057
YellowGreen,YG5 (679),382,-3,-0.7792208,872.2285,2.253505,1332.327
YellowGreen,YG6 (697),433,0,0,578.3925,2.475402,709.6997
YellowGreen,YG7 (720),304,-1,-0.3278688,687.2605,2.506221,816.1147
YellowGreen,YG8 (750),270,0,0,804.6975,2.376874,405.5219
YellowGreen,YG9 (780),360,-2,-0.5524862,1038.605,2.512005,240.1988
YellowGreen,YG10 (812),323,0,0,897.024,2.800725,110.0459
Red,R1 (661),199,22,12.42938,380.085,5.759092,1205.922
Red,R2 (679),184,19,11.51515,515.0785,5.960802,2196.896
Red,R3 (697),262,26,11.01695,416.7665,6.221961,1806.018
Red,R4 (717),256,29,12.77533,350.279,6.373815,1003.804
Red,R5 (738),198,19,10.61452,632.0455,6.479433,996.8652
Red,R6 (760),180,20,12.5,909.2925,6.503692,711.1987
Red,R7 (783),298,32,12.03008,1233.339,6.605764,580.3333
Red,R8 (812),170,18,11.84211,888.526,6.657084,232.5763


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.8,1.118516,51.41
Violet,-20.65,1.0991,64.38
Blue,0,1.043211,82.42751
Red,19.375,1.125897,70.404
UV,39.125,1.188776,0
FSC Area Scaling Factor,1.038723,Window Extension,3
Flow Rate,24.07
Temperature,25.5
