DailyQCReport_U1368_20250725_194832


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,377,-17,-4.314721,1931.022,2.796368,2045.828
Violet,SSC,154,9,6.206896,2001.106,6.409408,12042.9
Blue,SSC-B,110,-20,-15.38462,1940.52,3.41428,11763.65
UV,UV1 (373),1156,244,26.75438,304.933,5.982373,50.25827
UV,UV2 (388),320,65,25.4902,2031.535,2.592736,489.7662
UV,UV3 (428),248,44,21.56863,1547.774,1.947414,1522.839
UV,UV4 (443),184,37,25.17007,1245.802,2.027875,1784.191
UV,UV5 (458),227,39,20.74468,1225.726,2.037147,2440.271
UV,UV6 (473),280,52,22.80702,1543.317,2.012224,4249.238
UV,UV7 (514),438,79,22.00557,1708.333,2.016334,6922.804
UV,UV8 (542),348,62,21.67832,1047.709,2.115084,3706.02
UV,UV9 (582),412,66,19.07515,1357.96,2.184159,2709.425
UV,UV10 (613),285,43,17.76859,1245.732,2.174527,3853.982
UV,UV11 (664),355,57,19.12752,589.214,2.304083,1828.551
UV,UV12 (692),327,44,15.5477,494.167,2.248357,1091.907
UV,UV13 (720),472,65,15.97052,545.773,2.362319,985.6285
UV,UV14 (750),797,103,14.8415,653.911,2.537177,1246.019
UV,UV15 (780),643,80,14.20959,612.287,2.558101,772.3176
UV,UV16 (812),852,114,15.44715,866.794,3.05612,622.7086
Violet,V1 (428),138,11,8.661418,594.307,4.100001,1276.616
Violet,V2 (443),255,23,9.913794,1272.101,3.879888,2964.467
Violet,V3 (458),230,20,9.523809,1383.482,3.664568,3482.278
Violet,V4 (473),155,16,11.51079,1229.411,3.707721,3561.346
Violet,V5 (508),183,19,11.58537,1070.105,3.603509,3678.877
Violet,V6 (525),186,16,9.411765,766.743,3.640686,2713.584
Violet,V7 (542),244,20,8.928572,897.374,3.682243,2828.882
Violet,V8 (581),302,21,7.47331,767.2,4.051923,1377.448
Violet,V9 (598),273,23,9.2,776.332,4.060566,1195.03
Violet,V10 (615),299,17,6.028368,1166.958,4.306004,1040.492
Violet,V11 (664),233,17,7.87037,516.916,5.229493,512.9369
Violet,V12 (692),188,7,3.867404,455.491,5.396163,241.8221
Violet,V13 (720),182,9,5.202312,524.497,5.367142,158.2668
Violet,V14 (750),247,12,5.106383,464.761,5.463789,117.2065
Violet,V15 (780),432,25,6.142506,500.415,5.966998,79.80466
Violet,V16 (812),306,17,5.882353,574.808,6.604396,31.66538
Blue,B1 (508),574,17,3.052065,144.274,2.920236,459.63
Blue,B2 (525),350,12,3.550296,180.233,2.650024,419.974
Blue,B3 (542),346,9,2.670623,546.753,2.867557,1122.319
Blue,B4 (581),322,5,1.577287,742.871,2.959957,1344.923
Blue,B5 (598),240,4,1.694915,874.581,3.398917,1396.626
Blue,B6 (615),239,8,3.463203,937.449,3.761725,1095.391
Blue,B7 (661),504,9,1.818182,575.325,4.042651,545.8219
Blue,B8 (679),352,6,1.734104,487.175,4.379516,525.5471
Blue,B9 (697),472,7,1.505376,601.586,4.555395,460.0934
Blue,B10 (717),430,8,1.895735,422.65,4.684478,226.1503
Blue,B11 (738),298,5,1.706485,279.295,4.715109,137.2835
Blue,B12 (760),289,4,1.403509,277.497,4.932527,119.0713
Blue,B13 (783),437,6,1.392111,256.359,5.074679,76.53672
Blue,B14 (812),524,10,1.945525,552.637,5.378537,75.38386
YellowGreen,YG1 (577),415,12,2.977668,918.248,1.662316,1451.043
YellowGreen,YG2 (598),403,8,2.025316,1818.958,1.807075,1319.783
YellowGreen,YG3 (615),258,4,1.574803,2702.612,1.875267,2179.761
YellowGreen,YG4 (661),485,14,2.972399,1556.648,2.055106,1415.767
YellowGreen,YG5 (679),385,9,2.393617,1358.467,2.253227,1256.213
YellowGreen,YG6 (697),460,8,1.769912,1541.158,2.093239,818.2283
YellowGreen,YG7 (720),305,1,0.3289474,2102.792,2.156646,793.0047
YellowGreen,YG8 (750),277,1,0.3623188,1090.999,2.303551,403.4186
YellowGreen,YG9 (780),366,0,0,1045.678,2.356721,257.3227
YellowGreen,YG10 (812),381,3,0.7936509,1215.982,3.177021,121.7351
Red,R1 (661),156,8,5.405406,424.005,2.619263,1057.266
Red,R2 (679),155,4,2.649007,1108.067,2.81799,1778.637
Red,R3 (697),218,4,1.869159,2066.331,2.782686,1766.064
Red,R4 (717),212,4,1.923077,1972.583,2.876019,899.2211
Red,R5 (738),165,3,1.851852,1644.1,2.982475,1063.838
Red,R6 (760),154,4,2.666667,1453.265,3.111036,826.9139
Red,R7 (783),268,6,2.290076,1914.2,3.052851,664.1991
Red,R8 (812),175,3,1.744186,2124.126,2.917339,262.0062


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-39.7,1.115274,51.37
Violet,-19.85,1.094076,93.025
Blue,0,1.168884,82.42751
Red,20.325,1.048826,74.468
UV,39.875,1.086092,0
FSC Area Scaling Factor,1.182218,Window Extension,3
Flow Rate,24.19
Temperature,26.62
