DailyQCReport_U1368_20240707_111711


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,908,88,10.73171,1928.256,1.060697,550.8193
Violet,SSC,175,0,0,2009.624,1.503645,12806.1
Blue,SSC-B,244,-56,-18.66667,1897.194,3.073348,13151.81
UV,UV1 (373),983,104,11.83163,111.0315,6.105666,50.96468
UV,UV2 (388),252,28,12.5,738.656,2.749998,448.6178
UV,UV3 (428),196,18,10.11236,650.717,2.260561,1497.22
UV,UV4 (443),143,12,9.160306,587.8855,2.323819,1827.261
UV,UV5 (458),184,19,11.51515,642.9785,2.28675,2525.6
UV,UV6 (473),222,19,9.359606,995.054,2.41906,4168.742
UV,UV7 (514),350,27,8.359134,1400.217,2.416089,6729.171
UV,UV8 (542),281,24,9.338521,850.823,2.459414,3596.116
UV,UV9 (582),336,20,6.329114,1358.254,2.460682,3530.543
UV,UV10 (613),221,9,4.245283,1580.275,2.46571,3929.597
UV,UV11 (664),288,18,6.666667,867.414,2.619128,1790.743
UV,UV12 (692),266,17,6.827309,445.5205,2.752314,1042.304
UV,UV13 (720),400,38,10.49724,414.813,2.392669,908.7601
UV,UV14 (750),676,72,11.92053,1357.396,2.909309,1057.964
UV,UV15 (780),548,56,11.38211,1747.529,3.660167,734.2913
UV,UV16 (812),708,76,12.02532,1961.665,5.309417,520.3844
Violet,V1 (428),124,1,0.8130081,466.784,1.94598,1282.955
Violet,V2 (443),234,2,0.862069,1070.125,1.83937,3062.346
Violet,V3 (458),217,4,1.877934,1239.543,1.786598,3398.448
Violet,V4 (473),143,-2,-1.37931,1200.396,1.665445,3807.965
Violet,V5 (508),171,1,0.5882353,1134.151,1.61944,3824.007
Violet,V6 (525),179,0,0,826.638,1.637548,2761.728
Violet,V7 (542),234,1,0.4291846,955.1145,1.579034,2838.835
Violet,V8 (581),293,-1,-0.3401361,1034.768,1.614657,1524.729
Violet,V9 (598),242,-10,-3.968254,1234.294,1.601408,1143.031
Violet,V10 (615),276,-12,-4.166667,2133.535,1.638444,1029.87
Violet,V11 (664),230,0,0,1036.916,1.743628,483.4259
Violet,V12 (692),177,1,0.5681818,515.7915,2.008426,280.3225
Violet,V13 (720),175,5,2.941176,505.4735,1.654482,165.6443
Violet,V14 (750),248,10,4.201681,1224.444,2.413386,120.1827
Violet,V15 (780),430,19,4.622871,1754.428,3.23125,68.94595
Violet,V16 (812),300,13,4.529617,1292.192,5.033468,30.26141
Blue,B1 (508),1022,64,6.680585,144.061,2.16598,444.6089
Blue,B2 (525),627,44,7.54717,135.7075,1.975163,479.834
Blue,B3 (542),585,47,8.73606,285.47,1.928984,1224.314
Blue,B4 (581),519,33,6.790123,499.932,2.026371,1499.207
Blue,B5 (598),373,19,5.367232,712.393,2.008845,1558.139
Blue,B6 (615),355,12,3.498542,895.778,2.047681,1305.884
Blue,B7 (661),761,38,5.255878,635.83,1.979421,677.0187
Blue,B8 (679),534,30,5.952381,474.637,1.925232,567.0489
Blue,B9 (697),723,49,7.27003,404.204,1.896632,559.2064
Blue,B10 (717),667,41,6.549521,255.2375,1.466107,251.3295
Blue,B11 (738),477,46,10.67285,342.5615,1.359659,143.0033
Blue,B12 (760),461,45,10.81731,575.1825,1.917552,126.7441
Blue,B13 (783),673,65,10.69079,598.6705,2.788825,81.00087
Blue,B14 (812),782,78,11.07955,959.726,4.54798,79.13827
YellowGreen,YG1 (577),366,-7,-1.876675,603.1175,1.969017,1301.806
YellowGreen,YG2 (598),351,-18,-4.878048,1408.542,1.84121,1375.036
YellowGreen,YG3 (615),227,-11,-4.621849,2194.236,1.795352,2203.257
YellowGreen,YG4 (661),456,3,0.6622517,1274.134,1.690409,1613.099
YellowGreen,YG5 (679),358,1,0.2801121,903.813,1.706426,1414.691
YellowGreen,YG6 (697),403,2,0.4987531,592.447,1.8576,791.3981
YellowGreen,YG7 (720),288,4,1.408451,701.0305,1.341755,813.0499
YellowGreen,YG8 (750),270,9,3.448276,805.7785,1.98187,390.1432
YellowGreen,YG9 (780),372,12,3.333333,1030.922,3.084105,243.2698
YellowGreen,YG10 (812),352,12,3.529412,872.572,5.014605,115.2128
Red,R1 (661),218,27,14.13613,401.389,2.896125,1294.115
Red,R2 (679),198,19,10.61452,555.2845,3.09306,2471.529
Red,R3 (697),279,24,9.411765,434.6015,2.957527,1803.574
Red,R4 (717),280,25,9.803922,362.608,1.932023,1015.939
Red,R5 (738),235,23,10.84906,651.5405,1.846691,1040.329
Red,R6 (760),220,23,11.67513,923.0795,2.551145,702.7708
Red,R7 (783),375,36,10.61947,1252.92,3.394912,579.2928
Red,R8 (812),225,22,10.83744,884.9665,4.911428,217.0546


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.475,1.115327,51.45
Violet,-20.9,1.10044,64.565
Blue,0,1.049496,82.42751
Red,18.425,1.127982,70.5
UV,39.175,1.157244,0
FSC Area Scaling Factor,1.046528,Window Extension,3
Flow Rate,20.9
Temperature,25.75
