DailyQCReport_U1368_20230920_155953


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2005
Software,SpectroFlo 3.1.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,619,0,0,1943.938,0.8389158,555.4561
Violet,SSC,172,0,0,1989.12,1.514382,12865.43
Blue,SSC-B,220,38,20.87912,1955.91,3.619974,14231.56
UV,UV1 (373),955,-62,-6.096362,112.07,6.862317,53.28078
UV,UV2 (388),249,-15,-5.681818,738.076,4.725335,439.033
UV,UV3 (428),186,-14,-7,640.216,3.977763,1348.924
UV,UV4 (443),138,-8,-5.479452,579.0785,3.81706,1765.327
UV,UV5 (458),172,-14,-7.526882,620.68,3.672398,2421.322
UV,UV6 (473),218,-10,-4.385965,999.0335,3.692241,4301.985
UV,UV7 (514),342,-15,-4.201681,1401.841,3.700477,6353.283
UV,UV8 (542),271,-16,-5.574913,841.88,3.772644,3365.355
UV,UV9 (582),333,-18,-5.128205,1351.696,3.807839,3339.401
UV,UV10 (613),221,-18,-7.531381,1559.324,3.847569,3607.866
UV,UV11 (664),281,-25,-8.169935,848.3,3.975746,1720.219
UV,UV12 (692),260,-22,-7.801419,441.813,4.101807,1004.159
UV,UV13 (720),383,-32,-7.710844,408.258,4.246107,869.5492
UV,UV14 (750),656,-30,-4.373178,1389.406,4.41889,1130.227
UV,UV15 (780),535,-15,-2.727273,1799.75,4.62104,756.3248
UV,UV16 (812),722,41,6.020558,2127.698,4.939069,551.4865
Violet,V1 (428),130,-1,-0.7633588,464.5895,1.724561,1237.182
Violet,V2 (443),245,-3,-1.209677,1064.333,1.682436,3068.687
Violet,V3 (458),224,-3,-1.321586,1213.08,1.714412,3349.083
Violet,V4 (473),153,0,0,1206.825,1.657871,3691.487
Violet,V5 (508),178,-2,-1.111111,1126.495,1.637212,3726.653
Violet,V6 (525),188,-1,-0.5291005,828.168,1.683909,2781.971
Violet,V7 (542),243,-2,-0.8163265,957.3345,1.624565,2763.241
Violet,V8 (581),302,-7,-2.265372,1017.432,1.567384,1517.499
Violet,V9 (598),257,-10,-3.745318,1228.837,1.565681,1183.864
Violet,V10 (615),291,-7,-2.348993,2109.451,1.593859,1024.472
Violet,V11 (664),228,-15,-6.17284,998.6005,1.391571,473.4044
Violet,V12 (692),182,-8,-4.210526,514.864,1.322646,258.4885
Violet,V13 (720),174,-8,-4.395605,495.342,1.356229,158.0336
Violet,V14 (750),248,-5,-1.976285,1243.307,1.574695,119.6871
Violet,V15 (780),437,4,0.9237875,1809.535,1.876028,74.96996
Violet,V16 (812),316,26,8.965518,1384.318,2.371304,32.06933
Blue,B1 (508),862,-10,-1.146789,142.0055,2.548982,432.7428
Blue,B2 (525),534,-1,-0.1869159,133.2755,2.43415,454.2161
Blue,B3 (542),491,-6,-1.207243,277.7435,2.407642,1296.758
Blue,B4 (581),437,-12,-2.672606,483.88,2.337084,1463.12
Blue,B5 (598),318,-8,-2.453988,692.2455,2.203654,1676.591
Blue,B6 (615),303,-8,-2.572347,883.343,2.259124,1272.254
Blue,B7 (661),623,-27,-4.153846,625.1495,2.091268,649.8781
Blue,B8 (679),440,-23,-4.967603,468.1995,1.79462,597.6855
Blue,B9 (697),587,-31,-5.016181,393.6965,1.599894,521.6266
Blue,B10 (717),549,-21,-3.68421,252.479,1.341384,246.9477
Blue,B11 (738),388,-5,-1.272265,345.586,1.227862,145.5166
Blue,B12 (760),374,-1,-0.2666667,587.169,1.089401,124.2472
Blue,B13 (783),550,9,1.663586,617.1715,1.324569,81.18633
Blue,B14 (812),653,52,8.652246,1019.766,1.767928,83.79938
YellowGreen,YG1 (577),392,-9,-2.244389,596.7675,2.432299,1417.01
YellowGreen,YG2 (598),387,-2,-0.5141388,1410.874,2.385119,1318.02
YellowGreen,YG3 (615),248,-6,-2.362205,2160.761,2.381013,2058.317
YellowGreen,YG4 (661),468,-22,-4.489796,1256.082,2.476546,1377.461
YellowGreen,YG5 (679),364,-17,-4.461942,874.5125,2.624947,1272.663
YellowGreen,YG6 (697),408,-19,-4.449649,582.167,2.740608,795.4366
YellowGreen,YG7 (720),288,-15,-4.950495,686.6125,2.83762,757.83
YellowGreen,YG8 (750),273,0,0,828.4085,2.884991,374.7899
YellowGreen,YG9 (780),377,11,3.005465,1071.991,3.054733,251.7448
YellowGreen,YG10 (812),363,29,8.682634,930.603,3.494135,119.6845
Red,R1 (661),166,-18,-9.782609,385.2345,1.995817,1238.573
Red,R2 (679),154,-18,-10.46512,521.032,1.880738,2320.027
Red,R3 (697),218,-24,-9.917356,410.387,1.881153,1846.327
Red,R4 (717),223,-15,-6.302521,349.5715,1.777559,1108.601
Red,R5 (738),188,-3,-1.57068,653.7725,1.859412,1019.821
Red,R6 (760),178,3,1.714286,951.45,1.995102,749.3365
Red,R7 (783),308,13,4.40678,1293.427,2.220741,584.1378
Red,R8 (812),189,18,10.52632,941.3315,2.636689,237.314


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.75,1.119561,51.37
Violet,-20.65,1.099572,64.32
Blue,0,1.044384,82.42751
Red,19.325,1.123264,70.404
UV,38.95,1.188205,0
FSC Area Scaling Factor,1.038286,Window Extension,3
Flow Rate,24.24
Temperature,25
