DailyQCReport_U1368_20250519_102923


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,377,-17,-4.314721,1943.076,2.136946,1585.301
Violet,SSC,149,4,2.758621,2006.845,4.587088,12249.48
Blue,SSC-B,145,15,11.53846,2022.958,3.614003,12495.19
UV,UV1 (373),1118,206,22.58772,304.867,4.703068,52.98985
UV,UV2 (388),307,52,20.39216,2046.1,2.132688,435.7259
UV,UV3 (428),236,32,15.68628,1543.06,1.64782,1356.776
UV,UV4 (443),176,29,19.72789,1238.029,1.732798,1795.02
UV,UV5 (458),215,27,14.3617,1221.051,1.807523,2603.674
UV,UV6 (473),269,41,17.98246,1559.928,1.77464,4556.785
UV,UV7 (514),422,63,17.54875,1713.477,1.852801,5945.02
UV,UV8 (542),331,45,15.73427,1035.556,1.892176,3824.767
UV,UV9 (582),394,48,13.87283,1362.477,1.906718,2586.076
UV,UV10 (613),277,35,14.46281,1241.345,1.837589,3336.548
UV,UV11 (664),338,40,13.42282,590.961,1.960356,1785.421
UV,UV12 (692),312,29,10.24735,490.561,1.989866,945.6112
UV,UV13 (720),459,52,12.77641,548.408,2.085356,925.7773
UV,UV14 (750),778,84,12.10375,657.152,2.237623,1140.642
UV,UV15 (780),630,67,11.90053,608.032,2.252349,808.2286
UV,UV16 (812),910,172,23.30623,859.454,2.941106,566.2147
Violet,V1 (428),135,8,6.299212,601.329,1.891314,1266.588
Violet,V2 (443),249,17,7.327586,1276.523,1.779401,2810.794
Violet,V3 (458),224,14,6.666667,1389.6,1.616275,3702.945
Violet,V4 (473),149,10,7.194245,1235.086,1.625948,3661.332
Violet,V5 (508),177,13,7.926829,1073.396,1.545318,3809.255
Violet,V6 (525),180,10,5.882353,768.598,1.595096,2681.935
Violet,V7 (542),236,12,5.357143,895.534,1.582033,2726.724
Violet,V8 (581),291,10,3.558719,763.021,1.723893,1522.209
Violet,V9 (598),268,18,7.2,775.713,1.611957,1165.328
Violet,V10 (615),296,14,4.964539,1174.579,1.683667,1033.065
Violet,V11 (664),220,4,1.851852,523.596,2.325003,456.1218
Violet,V12 (692),180,-1,-0.5524862,458.375,2.499318,263.2042
Violet,V13 (720),175,2,1.156069,523.774,2.520348,161.7483
Violet,V14 (750),238,3,1.276596,467.486,2.627863,125.1266
Violet,V15 (780),422,15,3.685504,499.898,2.970981,78.8318
Violet,V16 (812),342,53,18.3391,576.465,3.882115,32.15061
Blue,B1 (508),557,0,0,144.141,2.336221,411.3136
Blue,B2 (525),341,3,0.887574,180.419,2.038419,429.7843
Blue,B3 (542),337,0,0,541.102,2.128645,1132.732
Blue,B4 (581),316,-1,-0.3154574,741.374,2.104282,1385.342
Blue,B5 (598),238,2,0.8474576,875.431,2.427692,1376.842
Blue,B6 (615),234,3,1.298701,931.929,2.660201,1087.236
Blue,B7 (661),487,-8,-1.616162,579.274,2.801813,528.9132
Blue,B8 (679),336,-10,-2.890173,481.104,3.2058,498.3175
Blue,B9 (697),457,-8,-1.72043,600.838,3.276677,466.4675
Blue,B10 (717),417,-5,-1.184834,415.456,3.462642,221.3761
Blue,B11 (738),289,-4,-1.365188,276.459,3.538975,129.9463
Blue,B12 (760),281,-4,-1.403509,275.664,3.641233,113.6599
Blue,B13 (783),432,1,0.2320186,255.699,3.755545,75.39836
Blue,B14 (812),579,65,12.64591,553.936,4.025184,69.2355
YellowGreen,YG1 (577),417,14,3.473945,929.715,1.421419,1333.6
YellowGreen,YG2 (598),413,18,4.556962,1813.445,1.573917,1326.256
YellowGreen,YG3 (615),263,9,3.543307,2670.732,1.620878,1921.303
YellowGreen,YG4 (661),473,2,0.4246285,1545.002,1.779418,1324.528
YellowGreen,YG5 (679),373,-3,-0.7978724,1352.446,2.010224,1272.56
YellowGreen,YG6 (697),451,-1,-0.2212389,1510.483,1.866391,740.5474
YellowGreen,YG7 (720),302,-2,-0.6578947,2094.928,1.944677,749.0458
YellowGreen,YG8 (750),275,-1,-0.3623188,1086.623,2.058177,401.268
YellowGreen,YG9 (780),369,3,0.8196721,1044.728,2.035832,268.6231
YellowGreen,YG10 (812),426,48,12.69841,1205.473,2.736454,124.6494
Red,R1 (661),135,-13,-8.783784,414.856,2.041055,1175.904
Red,R2 (679),141,-10,-6.622516,1090.381,2.228234,1836.34
Red,R3 (697),208,-6,-2.803738,2052.13,1.94479,1658.07
Red,R4 (717),205,-3,-1.442308,1973.899,2.003053,960.7865
Red,R5 (738),160,-2,-1.234568,1643.87,2.065022,1125.759
Red,R6 (760),149,-1,-0.6666667,1447.544,2.101135,838.6898
Red,R7 (783),266,4,1.526718,1912.422,2.063236,650.0115
Red,R8 (812),198,26,15.11628,2123.159,2.308189,269.3536


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-39.65,1.117123,51.45
Violet,-19.7,1.09482,93.08501
Blue,0,1.170298,82.42751
Red,20.1,1.04555,74.516
UV,39.525,1.104035,0
FSC Area Scaling Factor,1.184616,Window Extension,3
Flow Rate,23.6
Temperature,27.12
