DailyQCReport_U1368_20241203_095557


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2005
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,987,167,20.36585,1959.683,1.223183,423.0724
Violet,SSC,177,2,1.142857,1994.921,2.25967,11916.02
Blue,SSC-B,378,78,26,2005.758,4.435822,14967.21
UV,UV1 (373),1017,138,15.69966,112.297,6.238777,54.11167
UV,UV2 (388),261,37,16.51786,724.45,2.68199,431.2843
UV,UV3 (428),206,28,15.73034,644.371,2.271707,1394.195
UV,UV4 (443),155,24,18.32061,587.999,2.305618,1717.924
UV,UV5 (458),194,29,17.57576,632.69,2.298131,2521.181
UV,UV6 (473),234,31,15.27094,979.514,2.420087,4421.994
UV,UV7 (514),376,53,16.40867,1390.794,2.440948,6958.938
UV,UV8 (542),298,41,15.95331,838.204,2.428655,3657.237
UV,UV9 (582),361,45,14.24051,1318.524,2.332032,3248.897
UV,UV10 (613),243,31,14.62264,1567.35,2.407377,3853.345
UV,UV11 (664),307,37,13.7037,842.602,2.36318,1752.877
UV,UV12 (692),286,37,14.85944,433.673,2.397514,1007.277
UV,UV13 (720),416,54,14.91713,404.7,2.424223,941.4071
UV,UV14 (750),686,82,13.57616,1366.974,2.424992,1256.729
UV,UV15 (780),545,53,10.77236,1794.965,2.686358,829.0975
UV,UV16 (812),673,41,6.487342,2064.178,3.033265,564.193
Violet,V1 (428),124,1,0.8130081,464.369,2.200084,1259.28
Violet,V2 (443),235,3,1.293103,1071.82,2.111797,3071.953
Violet,V3 (458),216,3,1.408451,1219.922,2.070133,3479.943
Violet,V4 (473),143,-2,-1.37931,1194.378,1.960064,3867.532
Violet,V5 (508),171,1,0.5882353,1124.503,1.892018,3721.235
Violet,V6 (525),180,1,0.5586592,827.065,1.931979,2617.154
Violet,V7 (542),236,3,1.287554,950.561,1.875557,2704.145
Violet,V8 (581),301,7,2.380952,1026.15,1.78132,1491.978
Violet,V9 (598),253,1,0.3968254,1231.583,1.668566,1131.405
Violet,V10 (615),288,0,0,2130.384,1.712017,1032.985
Violet,V11 (664),232,2,0.8695652,1000.128,1.610686,463.3596
Violet,V12 (692),179,3,1.704545,496.57,1.633169,235.5896
Violet,V13 (720),172,2,1.176471,496.446,1.847102,165.1978
Violet,V14 (750),238,0,0,1241.995,2.049892,122.5701
Violet,V15 (780),400,-11,-2.676399,1786.145,2.290133,76.24567
Violet,V16 (812),270,-17,-5.923345,1357.887,2.59588,31.93921
Blue,B1 (508),1070,112,11.69102,140.464,2.690038,426.5979
Blue,B2 (525),648,65,11.14923,134.08,2.485726,467.3431
Blue,B3 (542),602,64,11.89591,275.53,2.292015,1242.733
Blue,B4 (581),538,52,10.69959,482.126,2.245983,1357.469
Blue,B5 (598),392,38,10.73446,698.249,2.304248,1546.719
Blue,B6 (615),379,36,10.49563,887.4,2.43221,1302.25
Blue,B7 (661),805,82,11.34163,618.905,2.289471,649.1905
Blue,B8 (679),562,58,11.50794,461.999,2.027228,567.7268
Blue,B9 (697),746,72,10.68249,383.073,1.750141,474.7285
Blue,B10 (717),693,67,10.70288,253.827,1.571607,261.3009
Blue,B11 (738),474,43,9.976798,342.754,1.392229,146.3981
Blue,B12 (760),449,33,7.932692,578.34,1.089734,115.9618
Blue,B13 (783),659,51,8.388158,623.759,1.241823,85.27053
Blue,B14 (812),735,31,4.403409,1022.21,1.712987,84.20731
YellowGreen,YG1 (577),390,17,4.557641,600.663,2.102921,1306.596
YellowGreen,YG2 (598),383,14,3.794038,1413.639,2.117999,1331.287
YellowGreen,YG3 (615),246,8,3.361345,2176.76,2.083092,2073.261
YellowGreen,YG4 (661),481,28,6.181015,1264.361,1.780242,1364.505
YellowGreen,YG5 (679),373,16,4.481793,874.762,1.628789,1339.629
YellowGreen,YG6 (697),420,19,4.738154,579.299,1.622182,719.9072
YellowGreen,YG7 (720),295,11,3.87324,691.321,1.346691,748.277
YellowGreen,YG8 (750),264,3,1.149425,811.866,1.003356,431.8754
YellowGreen,YG9 (780),357,-3,-0.8333334,1056.481,1.206831,261.4706
YellowGreen,YG10 (812),326,-14,-4.117647,926.804,1.884427,117.4277
Red,R1 (661),218,27,14.13613,372.782,3.080045,1246.624
Red,R2 (679),205,26,14.52514,515.096,3.12697,2232.478
Red,R3 (697),290,35,13.72549,409.672,2.878239,1753.018
Red,R4 (717),285,30,11.76471,346.428,2.73937,970.4419
Red,R5 (738),229,17,8.018867,644.863,3.003299,1058.385
Red,R6 (760),211,14,7.106599,937.153,3.069878,694.3179
Red,R7 (783),356,17,5.014749,1293.901,3.135788,577.5912
Red,R8 (812),204,1,0.4926108,929.514,3.300007,243.9078


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.475,1.117588,51.41
Violet,-21.225,1.099226,64.565
Blue,0,1.058484,82.42751
Red,18.275,1.12433,70.552
UV,38.95,1.147893,0
FSC Area Scaling Factor,1.047907,Window Extension,3
Flow Rate,29.58
Temperature,26
