DailyQCReport_U1368_20260501_093953


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,627,0,0,2025.741,1.773324,2068.327
Violet,SSC,153,5,3.378378,2005.626,1.068676,12081.1
Blue,SSC-B,131,31,31,1956.057,2.542887,11923.35
UV,UV1 (373),1388,148,11.93548,227.5785,2.55587,58.19255
UV,UV2 (388),372,33,9.734513,1338.396,0.9597746,530.745
UV,UV3 (428),292,27,10.18868,1018.966,1.350103,1679.339
UV,UV4 (443),218,19,9.547739,904.0565,1.431069,2175.384
UV,UV5 (458),273,24,9.638554,970.7215,1.469402,2969.254
UV,UV6 (473),333,25,8.116883,1470.349,1.54587,5026.18
UV,UV7 (514),516,34,7.053942,2035.254,1.586814,7961.225
UV,UV8 (542),414,28,7.253886,1542.484,1.508299,4214.403
UV,UV9 (582),487,30,6.564551,2468.354,1.481108,3046.887
UV,UV10 (613),328,21,6.840391,1954.541,1.343245,4183.5
UV,UV11 (664),414,27,6.976745,865.9245,1.188801,2007.455
UV,UV12 (692),386,32,9.039548,662.012,1.263469,1200.964
UV,UV13 (720),559,54,10.69307,698.1705,1.503904,1076.456
UV,UV14 (750),952,94,10.95571,799.923,1.70041,1252.794
UV,UV15 (780),761,74,10.77147,628.8955,1.836946,898.7916
UV,UV16 (812),999,105,11.74497,424.0555,2.138103,671.2579
Violet,V1 (428),135,6,4.651163,796.9525,1.219878,1350.218
Violet,V2 (443),252,12,5,1852.647,1.0241,3113.136
Violet,V3 (458),234,12,5.405406,2171.235,1.026753,3783.901
Violet,V4 (473),159,11,7.432433,2178.605,1.012257,4016.716
Violet,V5 (508),185,7,3.932585,2036.121,1.016912,3638.785
Violet,V6 (525),194,11,6.010929,1530.317,1.100278,2572.871
Violet,V7 (542),247,9,3.781513,2052.614,1.062242,2930.476
Violet,V8 (581),310,11,3.67893,2391.361,1.107978,1459.554
Violet,V9 (598),273,8,3.018868,2281.36,1.038026,1265.709
Violet,V10 (615),309,18,6.185567,3352.038,1.091786,1069.504
Violet,V11 (664),237,9,3.947368,1338.674,0.9291255,524.1046
Violet,V12 (692),189,9,5,1026.774,1.012329,239.5325
Violet,V13 (720),184,11,6.358381,1100.068,1.278688,160.2973
Violet,V14 (750),258,21,8.86076,931.925,1.486017,128.6492
Violet,V15 (780),454,34,8.095239,818.305,1.644929,82.05129
Violet,V16 (812),321,28,9.556314,362.799,1.814673,31.13126
Blue,B1 (508),605,20,3.418804,226.7795,1.788494,422.8123
Blue,B2 (525),369,10,2.785515,277.9355,1.72601,456.1793
Blue,B3 (542),356,8,2.298851,1055.255,1.617988,1187.344
Blue,B4 (581),328,9,2.821316,1653.762,1.526974,1361.777
Blue,B5 (598),245,7,2.941176,1842.801,1.579071,1450.502
Blue,B6 (615),238,6,2.586207,1897.403,1.663562,1186.929
Blue,B7 (661),499,14,2.886598,1133.58,1.641203,565.2517
Blue,B8 (679),349,14,4.179104,934.505,1.769022,523.8907
Blue,B9 (697),472,23,5.122494,1123.565,1.933702,494.0617
Blue,B10 (717),431,25,6.157636,777.0085,2.026422,247.7974
Blue,B11 (738),297,19,6.834532,504.142,2.172628,145.3686
Blue,B12 (760),290,21,7.806692,488.581,2.181649,115.3151
Blue,B13 (783),437,29,7.107843,385.297,2.406764,80.86243
Blue,B14 (812),507,38,8.102345,386.372,2.490892,76.78889
YellowGreen,YG1 (577),419,4,0.9638554,1744.818,1.85095,1397.454
YellowGreen,YG2 (598),401,7,1.77665,2417.196,1.795108,1382.338
YellowGreen,YG3 (615),256,5,1.992032,3219.442,1.858426,2024.059
YellowGreen,YG4 (661),478,6,1.271186,1858.252,1.712627,1601.605
YellowGreen,YG5 (679),385,6,1.583114,1582.163,1.763256,1343.924
YellowGreen,YG6 (697),461,16,3.595506,1768.192,1.825569,751.0411
YellowGreen,YG7 (720),309,12,4.040404,2386.155,1.881908,796.7131
YellowGreen,YG8 (750),286,14,5.147059,1224.236,1.999204,407.6601
YellowGreen,YG9 (780),377,20,5.602241,1034.163,2.087974,248.5953
YellowGreen,YG10 (812),373,22,6.267806,566.5955,2.273841,126.9142
Red,R1 (661),149,-3,-1.973684,391.5385,1.662409,1368.312
Red,R2 (679),151,3,2.027027,1079.489,1.543277,2644.952
Red,R3 (697),219,11,5.288462,2025.977,1.716268,2304.436
Red,R4 (717),216,13,6.403941,1913.391,1.782789,1331.864
Red,R5 (738),170,10,6.25,1613.952,1.908478,1129.458
Red,R6 (760),158,10,6.756756,1406.956,1.888536,861.8624
Red,R7 (783),274,17,6.614786,1576.044,2.022549,687.7017
Red,R8 (812),175,12,7.361963,776.3425,2.104259,282.3571


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.05,1.105401,51.37
Violet,-19.75,1.07981,93.08501
Blue,0,1.107828,82.42751
Red,20.1,1.018627,74.468
UV,39.75,1.005991,0
FSC Area Scaling Factor,1.100956,Window Extension,3
Flow Rate,8.44
Temperature,22.75
