DailyQCReport_U1368_20250328_192517


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,377,-17,-4.314721,1956.801,2.053557,1505.557
Violet,SSC,148,3,2.068965,1998.651,4.318613,10410.32
Blue,SSC-B,141,11,8.461538,1978.052,2.516165,11404.37
UV,UV1 (373),1015,103,11.29386,306.1715,2.576571,45.40747
UV,UV2 (388),283,28,10.98039,2031.402,1.329974,405.8831
UV,UV3 (428),219,15,7.352942,1541.814,1.256729,1361.516
UV,UV4 (443),165,18,12.2449,1245.9,1.423072,1867.872
UV,UV5 (458),206,18,9.574469,1229.723,1.567624,2631.942
UV,UV6 (473),252,24,10.52632,1541.516,1.553764,4089.04
UV,UV7 (514),396,37,10.30641,1694.65,1.619941,5828.741
UV,UV8 (542),314,28,9.79021,1040.94,1.628168,3705.248
UV,UV9 (582),377,31,8.959538,1360.916,1.5832,2770.321
UV,UV10 (613),262,20,8.264462,1241.463,1.448013,3637.774
UV,UV11 (664),325,27,9.060403,585.1185,1.436185,1706.97
UV,UV12 (692),306,23,8.127209,499.4285,1.508806,1017.885
UV,UV13 (720),440,33,8.108108,545.6455,1.600005,943.0574
UV,UV14 (750),744,50,7.204611,651.056,1.734758,1188.913
UV,UV15 (780),598,35,6.216696,607.78,1.73407,760.7452
UV,UV16 (812),780,42,5.691057,866.163,2.268952,530.896
Violet,V1 (428),136,9,7.086615,598.507,1.788294,1266.303
Violet,V2 (443),252,20,8.620689,1270.538,1.69392,2731.258
Violet,V3 (458),227,17,8.095239,1380.274,1.56095,3452.24
Violet,V4 (473),152,13,9.352518,1234.785,1.566267,3976.915
Violet,V5 (508),179,15,9.146341,1063.281,1.514504,3735.469
Violet,V6 (525),184,14,8.235294,773.7415,1.574431,2719.135
Violet,V7 (542),241,17,7.589286,894.67,1.582164,2748.419
Violet,V8 (581),297,16,5.69395,764.192,1.715216,1435.931
Violet,V9 (598),265,15,6,771.722,1.699227,1189.653
Violet,V10 (615),295,13,4.609929,1179.77,1.759928,1053.846
Violet,V11 (664),232,16,7.407407,519.1035,2.216641,450.6497
Violet,V12 (692),187,6,3.314917,454.554,2.36208,248.3773
Violet,V13 (720),180,7,4.046243,522.638,2.359837,156.3443
Violet,V14 (750),247,12,5.106383,466.722,2.441961,127.5398
Violet,V15 (780),427,20,4.914005,499.6935,2.66233,73.54549
Violet,V16 (812),298,9,3.114187,578.4545,3.229884,31.91903
Blue,B1 (508),555,-2,-0.3590664,144.7325,2.04883,414.5544
Blue,B2 (525),340,2,0.591716,178.109,1.692009,397.7576
Blue,B3 (542),338,1,0.2967359,541.234,1.714526,1082.404
Blue,B4 (581),315,-2,-0.6309149,740.757,1.584504,1272.616
Blue,B5 (598),234,-2,-0.8474576,873.1755,1.832227,1359.786
Blue,B6 (615),231,0,0,938.661,1.992935,1092.306
Blue,B7 (661),495,0,0,573.13,1.985306,549.6298
Blue,B8 (679),344,-2,-0.5780346,482.342,2.303881,519.172
Blue,B9 (697),467,2,0.4301075,609.61,2.334875,477.4454
Blue,B10 (717),424,2,0.4739337,425.56,2.45928,214.5383
Blue,B11 (738),293,0,0,277.407,2.536295,130.0046
Blue,B12 (760),284,-1,-0.3508772,276.167,2.544075,109.2104
Blue,B13 (783),427,-4,-0.9280742,254.7935,2.662509,77.23663
Blue,B14 (812),505,-9,-1.750973,550.762,2.803581,77.06705
YellowGreen,YG1 (577),405,2,0.4962779,929.11,1.182501,1378.173
YellowGreen,YG2 (598),387,-8,-2.025316,1819.09,1.417182,1243.492
YellowGreen,YG3 (615),251,-3,-1.181102,2713.061,1.41379,2027.596
YellowGreen,YG4 (661),475,4,0.8492569,1527.256,1.432626,1384.157
YellowGreen,YG5 (679),383,7,1.861702,1367.017,1.635635,1339.446
YellowGreen,YG6 (697),451,-1,-0.2212389,1509.084,1.505773,771.3333
YellowGreen,YG7 (720),301,-3,-0.986842,2096.346,1.595373,854.9433
YellowGreen,YG8 (750),275,-1,-0.3623188,1089.875,1.652753,393.9821
YellowGreen,YG9 (780),363,-3,-0.8196721,1043.864,1.624469,257.9876
YellowGreen,YG10 (812),372,-6,-1.587302,1221.253,1.871503,116.9355
Red,R1 (661),161,13,8.783784,430.529,1.61982,1227.001
Red,R2 (679),155,4,2.649007,1106.767,1.806968,1892.779
Red,R3 (697),215,1,0.4672897,2045.592,1.576864,1733.309
Red,R4 (717),209,1,0.4807692,1974.798,1.633497,923.5965
Red,R5 (738),164,2,1.234568,1645.585,1.653637,1077.752
Red,R6 (760),152,2,1.333333,1454.199,1.656334,770.9813
Red,R7 (783),264,2,0.7633588,1917.014,1.670361,638.7045
Red,R8 (812),170,-2,-1.162791,2136.875,2.031281,248.702


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-39.625,1.117001,51.3475
Violet,-19.6,1.093905,93.145
Blue,0,1.175517,82.42751
Red,20,1.051068,74.564
UV,39.575,1.113819,0
FSC Area Scaling Factor,1.187609,Window Extension,3
Flow Rate,13.56
Temperature,27.25
