DailyQCReport_U1368_20250830_234002


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,347,-32,-8.443272,2034.207,2.49973,1916.383
Violet,SSC,164,21,14.68532,2025.274,8.197351,12357.9
Blue,SSC-B,97,-35,-26.51515,1951.499,3.21896,11836.85
UV,UV1 (373),1071,-47,-4.203936,309.904,2.518352,54.22066
UV,UV2 (388),298,-9,-2.931596,2025.434,1.490533,477.434
UV,UV3 (428),234,-6,-2.5,1541.15,2.090963,1653.72
UV,UV4 (443),176,-3,-1.675978,1243.32,2.434402,1867.907
UV,UV5 (458),214,-6,-2.727273,1215.072,2.647119,2719.687
UV,UV6 (473),270,-1,-0.3690037,1558.068,2.616881,4503.087
UV,UV7 (514),424,2,0.4739337,1698.117,2.75527,6754.565
UV,UV8 (542),339,8,2.416919,1038.381,2.821726,4097.838
UV,UV9 (582),401,10,2.557545,1362.755,2.832429,2864.656
UV,UV10 (613),274,-2,-0.7246377,1251.706,2.536455,3828.062
UV,UV11 (664),341,17,5.246913,589.501,2.047265,1907.666
UV,UV12 (692),312,1,0.3215434,494.181,1.964427,1182.872
UV,UV13 (720),453,-27,-5.625,548.135,2.011732,1068.703
UV,UV14 (750),763,-46,-5.686032,658.786,2.090035,1296.713
UV,UV15 (780),608,-81,-11.75617,603.939,1.973581,828.9693
UV,UV16 (812),808,-506,-38.50837,864.231,2.7521,627.5051
Violet,V1 (428),128,0,0,598.928,3.239634,1285.027
Violet,V2 (443),233,2,0.8658009,1274.884,3.373703,2974.21
Violet,V3 (458),212,2,0.952381,1381.296,3.460674,3544.965
Violet,V4 (473),140,2,1.449275,1246.932,3.641791,3866.107
Violet,V5 (508),164,4,2.5,1066.716,3.753934,3464.961
Violet,V6 (525),170,3,1.796407,761.084,3.791342,2631.74
Violet,V7 (542),225,7,3.211009,900.894,3.843385,2758.673
Violet,V8 (581),283,19,7.19697,769.173,3.869366,1369.01
Violet,V9 (598),245,9,3.813559,775.485,3.74561,1248.004
Violet,V10 (615),279,11,4.104477,1169.615,3.674449,993.6571
Violet,V11 (664),219,32,17.1123,524.661,3.386773,488.7435
Violet,V12 (692),174,21,13.72549,455.966,3.245699,256.2885
Violet,V13 (720),168,8,5,524.013,3.020925,157.3925
Violet,V14 (750),232,11,4.977376,468.917,3.012,124.2986
Violet,V15 (780),397,-20,-4.796163,497.605,3.120458,72.51416
Violet,V16 (812),280,-209,-42.74028,577.091,3.615553,31.23083
Blue,B1 (508),548,-5,-0.9041591,142.661,2.941047,424.25
Blue,B2 (525),337,3,0.8982036,179.525,2.723199,395.9497
Blue,B3 (542),334,11,3.405573,545.854,2.692047,1065.273
Blue,B4 (581),306,9,3.030303,745.315,2.397088,1473.541
Blue,B5 (598),225,1,0.4464286,879.56,2.277788,1433.389
Blue,B6 (615),215,-3,-1.376147,937.29,2.112877,1054.905
Blue,B7 (661),459,15,3.378378,573.136,1.685877,517.0349
Blue,B8 (679),316,18,6.040268,480.2,1.933847,478.8878
Blue,B9 (697),424,3,0.7125891,608.875,1.744159,485.1834
Blue,B10 (717),387,-19,-4.679803,422.212,1.892244,225.6727
Blue,B11 (738),265,-10,-3.636364,278.959,1.872672,140.6259
Blue,B12 (760),257,-11,-4.104477,275.15,1.837021,113.2953
Blue,B13 (783),388,-53,-12.01814,255.994,1.936253,83.28857
Blue,B14 (812),456,-330,-41.98473,545.734,2.167003,74.03602
YellowGreen,YG1 (577),389,-3,-0.7653061,916.131,1.366887,1284.63
YellowGreen,YG2 (598),373,-20,-5.089058,1823.082,1.549159,1322.945
YellowGreen,YG3 (615),238,-15,-5.928854,2710.448,1.46378,2063.632
YellowGreen,YG4 (661),465,16,3.563474,1553.131,1.153178,1516.6
YellowGreen,YG5 (679),367,19,5.45977,1356.316,1.47314,1213.662
YellowGreen,YG6 (697),440,5,1.149425,1529.316,1.276343,841.4411
YellowGreen,YG7 (720),294,-13,-4.234528,2081.904,1.391036,698.438
YellowGreen,YG8 (750),270,-10,-3.571429,1089.491,1.426102,410.0648
YellowGreen,YG9 (780),359,-38,-9.571789,1047.502,1.292869,242.7829
YellowGreen,YG10 (812),368,-248,-40.25974,1199.47,1.608446,122.6183
Red,R1 (661),160,44,37.93103,424.066,2.428858,1495.24
Red,R2 (679),156,33,26.82927,1114.002,2.507731,2883.05
Red,R3 (697),215,12,5.91133,2035.619,2.223544,2198.622
Red,R4 (717),214,2,0.9433962,1981.53,2.22366,1230.354
Red,R5 (738),166,1,0.6060606,1641.002,2.223461,1179.861
Red,R6 (760),153,-2,-1.290323,1443.403,2.099114,828.4667
Red,R7 (783),269,-29,-9.731544,1924.65,2.085024,616.3549
Red,R8 (812),176,-142,-44.65409,2132.647,2.644854,275.615


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-39.775,1.106648,51.3475
Violet,-19.85,1.088466,92.96
Blue,0,1.176105,82.42751
Red,19.875,1.025716,74.468
UV,39.95,1.069634,0
FSC Area Scaling Factor,1.191071,Window Extension,3
Flow Rate,13.51
Temperature,24.5
