DailyQCReport_U1368_20250304_095248


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,377,-17,-4.314721,1951.252,2.144458,1421.021
Violet,SSC,148,3,2.068965,1995.651,5.148738,12251.94
Blue,SSC-B,140,10,7.692308,2012.134,4.123606,13345.42
UV,UV1 (373),1001,89,9.758772,304.278,4.686382,51.55526
UV,UV2 (388),274,19,7.450981,2032.167,1.964992,466.9093
UV,UV3 (428),215,11,5.392157,1553.03,1.853379,1507.417
UV,UV4 (443),161,14,9.523809,1242.53,2.133328,1765.676
UV,UV5 (458),203,15,7.978723,1223.864,2.304656,2584.817
UV,UV6 (473),248,20,8.77193,1560.334,2.341733,4390.66
UV,UV7 (514),391,32,8.913649,1707.048,2.423974,6685.737
UV,UV8 (542),309,23,8.041958,1049.913,2.395841,3696.709
UV,UV9 (582),374,28,8.092485,1378.933,2.250362,2985.886
UV,UV10 (613),257,15,6.198347,1235.748,1.969815,3743.149
UV,UV11 (664),318,20,6.711409,588.469,1.892648,1737.712
UV,UV12 (692),295,12,4.240283,496.673,1.869043,1092.053
UV,UV13 (720),426,19,4.668305,547.789,1.971842,1001.423
UV,UV14 (750),724,30,4.322766,653.446,2.049647,1210.32
UV,UV15 (780),583,20,3.552398,609.89,2.094101,788.6129
UV,UV16 (812),758,20,2.710027,864.625,2.665392,620.2731
Violet,V1 (428),135,8,6.299212,601.664,3.061027,1291.017
Violet,V2 (443),249,17,7.327586,1275.439,2.807522,2847.822
Violet,V3 (458),224,14,6.666667,1386.544,2.604958,3445.877
Violet,V4 (473),150,11,7.913669,1239.713,2.543885,3806.963
Violet,V5 (508),177,13,7.926829,1067.046,2.462311,3811.975
Violet,V6 (525),181,11,6.470589,761.93,2.544314,2618.729
Violet,V7 (542),239,15,6.696428,902.258,2.486124,2848.603
Violet,V8 (581),295,14,4.982206,769.539,2.597818,1465.479
Violet,V9 (598),265,15,6,771.76,2.507476,1256.239
Violet,V10 (615),294,12,4.255319,1165.454,2.621549,1029.572
Violet,V11 (664),230,14,6.481482,522.778,3.385386,489.9744
Violet,V12 (692),185,4,2.209945,455.865,3.644033,249.8976
Violet,V13 (720),178,5,2.890173,523.703,3.766596,155.0178
Violet,V14 (750),242,7,2.978724,465.646,3.943297,120.0023
Violet,V15 (780),420,13,3.194103,499.884,4.385819,76.97902
Violet,V16 (812),295,6,2.076125,574.578,5.151136,32.44849
Blue,B1 (508),557,0,0,144.167,2.477584,434.0536
Blue,B2 (525),341,3,0.887574,179.958,2.306386,429.779
Blue,B3 (542),340,3,0.8902078,547.847,2.326703,1130.728
Blue,B4 (581),315,-2,-0.6309149,740.717,2.205703,1370.526
Blue,B5 (598),236,0,0,874.853,2.497622,1368.307
Blue,B6 (615),232,1,0.4329004,934.288,2.715688,1068.104
Blue,B7 (661),491,-4,-0.8080809,568.706,2.819992,558.7017
Blue,B8 (679),343,-3,-0.867052,485.867,3.235568,506.4727
Blue,B9 (697),466,1,0.2150538,605.617,3.425033,470.6297
Blue,B10 (717),422,0,0,422.417,3.614104,229.4423
Blue,B11 (738),290,-3,-1.023891,277.204,3.758155,139.9167
Blue,B12 (760),282,-3,-1.052632,276.839,3.867107,117.6527
Blue,B13 (783),426,-5,-1.160093,255.481,4.042258,75.93808
Blue,B14 (812),508,-6,-1.167315,552.75,4.416358,75.55258
YellowGreen,YG1 (577),415,12,2.977668,921.683,1.816235,1362.895
YellowGreen,YG2 (598),407,12,3.037975,1829.34,1.901844,1320.486
YellowGreen,YG3 (615),257,3,1.181102,2674.169,1.950619,2057.778
YellowGreen,YG4 (661),477,6,1.273885,1542.089,2.013953,1306.424
YellowGreen,YG5 (679),386,10,2.659575,1359.065,2.219378,1291.062
YellowGreen,YG6 (697),460,8,1.769912,1541.124,2.058871,771.4429
YellowGreen,YG7 (720),303,-1,-0.3289474,2102.919,2.175389,794.0316
YellowGreen,YG8 (750),276,0,0,1090.919,2.304833,398.1078
YellowGreen,YG9 (780),364,-2,-0.5464481,1040.044,2.343371,258.4528
YellowGreen,YG10 (812),375,-3,-0.7936509,1214.837,2.953995,115.5364
Red,R1 (661),149,1,0.6756757,414.269,2.213467,1376.624
Red,R2 (679),151,0,0,1093.117,2.352568,2167.884
Red,R3 (697),213,-1,-0.4672897,2047.216,2.163665,1885.545
Red,R4 (717),206,-2,-0.9615385,1976.942,2.27232,1078.525
Red,R5 (738),162,0,0,1647.022,2.364236,1109.523
Red,R6 (760),150,0,0,1448.404,2.404194,841.3324
Red,R7 (783),262,0,0,1913.826,2.370372,610.5521
Red,R8 (812),171,-1,-0.5813953,2127.041,2.391943,260.1219


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-39.7,1.115719,51.41
Violet,-19.55,1.092368,93.145
Blue,0,1.172181,82.42751
Red,19.975,1.045045,74.616
UV,39.575,1.118859,0
FSC Area Scaling Factor,1.185371,Window Extension,3
Flow Rate,32.51
Temperature,25.5
