DailyQCReport_U1368_20260401_211255


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,374,-2,-0.5319149,1967.239,3.832787,1796.721
Violet,SSC,149,8,5.673759,2011.663,2.738695,12037.92
Blue,SSC-B,119,15,14.42308,1976.787,3.102893,11975.62
UV,UV1 (373),1312,196,17.56273,224.8915,2.461017,60.01448
UV,UV2 (388),363,49,15.60509,1345.528,1.047248,503.8727
UV,UV3 (428),285,43,17.76859,1020.458,1.413196,1698.891
UV,UV4 (443),215,32,17.48634,910.7135,1.499868,2061.28
UV,UV5 (458),265,39,17.25664,966.6905,1.649606,2900.342
UV,UV6 (473),324,50,18.24817,1472.065,1.763959,5212.169
UV,UV7 (514),509,76,17.55196,2051.236,1.85889,7486.727
UV,UV8 (542),406,62,18.02326,1555.104,1.805844,4600.17
UV,UV9 (582),478,65,15.7385,2486.788,1.765054,2750.756
UV,UV10 (613),320,39,13.879,1952.239,1.562138,4372.941
UV,UV11 (664),405,53,15.05682,869.9735,1.203456,1976.202
UV,UV12 (692),371,46,14.15385,666.1725,1.228204,1203.891
UV,UV13 (720),536,66,14.04255,699.085,1.391895,1103.141
UV,UV14 (750),911,110,13.73283,805.174,1.555712,1423.627
UV,UV15 (780),725,79,12.2291,634.2325,1.713808,949.2115
UV,UV16 (812),949,108,12.84186,424.4365,2.033946,678.0181
Violet,V1 (428),129,3,2.380952,797.183,1.664359,1294.128
Violet,V2 (443),239,6,2.575107,1861.64,1.739847,2967.668
Violet,V3 (458),221,5,2.314815,2149.676,1.913001,3628.181
Violet,V4 (473),148,6,4.225352,2180.738,2.03871,3925.613
Violet,V5 (508),177,7,4.117647,2054.056,2.062492,3593.894
Violet,V6 (525),181,5,2.840909,1511.047,2.124574,2615.03
Violet,V7 (542),235,8,3.524229,2054.592,2.285471,2716.892
Violet,V8 (581),297,8,2.768166,2389.778,2.409218,1333.894
Violet,V9 (598),261,9,3.571429,2289.988,2.221017,1185.43
Violet,V10 (615),291,7,2.464789,3296.684,2.144327,1036.545
Violet,V11 (664),225,7,3.211009,1324.118,1.707449,543.9417
Violet,V12 (692),182,4,2.247191,1029.473,1.511785,257.8906
Violet,V13 (720),175,3,1.744186,1101.731,1.506475,159.3642
Violet,V14 (750),243,5,2.10084,939.639,1.616495,121.9863
Violet,V15 (780),424,7,1.678657,816.6785,1.685807,79.8442
Violet,V16 (812),298,9,3.114187,363.959,1.777778,34.42512
Blue,B1 (508),547,7,1.296296,226.2615,2.474746,437.7204
Blue,B2 (525),338,7,2.114804,279.692,2.445466,406.1803
Blue,B3 (542),330,9,2.803738,1069.184,2.312051,1100.426
Blue,B4 (581),301,4,1.346801,1665.889,2.086751,1455.198
Blue,B5 (598),225,2,0.896861,1850.793,1.969301,1391.849
Blue,B6 (615),215,0,0,1909.842,1.823952,1103.387
Blue,B7 (661),456,1,0.2197802,1134.369,1.557434,557.0732
Blue,B8 (679),315,-3,-0.9433962,925.7425,1.586368,529.5687
Blue,B9 (697),421,-6,-1.405152,1131.553,1.639525,448.3894
Blue,B10 (717),385,0,0,776.3435,1.628462,227.8615
Blue,B11 (738),264,-1,-0.3773585,506.7955,1.797217,135.8426
Blue,B12 (760),256,-3,-1.158301,489.27,1.749409,120.8807
Blue,B13 (783),387,-4,-1.023018,387.911,1.964379,80.35487
Blue,B14 (812),446,-1,-0.2237137,388.1395,2.040553,75.68084
YellowGreen,YG1 (577),396,-9,-2.222222,1751.013,1.487477,1430.614
YellowGreen,YG2 (598),379,-13,-3.316326,2445.467,1.402417,1343.225
YellowGreen,YG3 (615),245,-9,-3.543307,3285.025,1.425082,2026.919
YellowGreen,YG4 (661),464,-11,-2.315789,1877.913,1.221591,1464.697
YellowGreen,YG5 (679),374,-11,-2.857143,1601.452,1.299499,1270.611
YellowGreen,YG6 (697),445,-11,-2.412281,1795.645,1.303017,867.1964
YellowGreen,YG7 (720),297,-11,-3.571429,2384.468,1.351386,728.5311
YellowGreen,YG8 (750),273,-7,-2.5,1227.302,1.485322,404.5398
YellowGreen,YG9 (780),362,-8,-2.162162,1046.145,1.570269,274.5585
YellowGreen,YG10 (812),353,-9,-2.486188,570.9785,1.757308,117.5954
Red,R1 (661),152,5,3.401361,397.1775,1.594614,1569.341
Red,R2 (679),149,-1,-0.6666667,1082.71,1.416424,2806.518
Red,R3 (697),211,-1,-0.4716981,2019.693,1.387995,2128.68
Red,R4 (717),207,-2,-0.9569378,1923.41,1.363983,1199.823
Red,R5 (738),163,-1,-0.6097561,1613.206,1.537238,1142.777
Red,R6 (760),152,0,0,1413.13,1.45705,817.9674
Red,R7 (783),263,-1,-0.3787879,1576.452,1.490766,618.2172
Red,R8 (812),167,1,0.6024096,784.347,1.671798,277.0818


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-39.6,1.105736,51.3275
Violet,-20.125,1.086976,93.025
Blue,0,1.165088,82.42751
Red,20.275,1.023834,74.42
UV,40,1.002497,0
FSC Area Scaling Factor,1.181212,Window Extension,3
Flow Rate,16.62
Temperature,22.25
